ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2023,5,8,ANCHOVETA,195882.4266821966,11535.602,40398.37399999994,2
2023,6,8,ANCHOVETA,206333.69387739128,9708.476,24925.789999999986,2
2023,7,8,ANCHOVETA,231000,1811.776,6109.708,1
2023,10,8,ANCHOVETA,271000,423.358,589.51,1
2023,11,8,ANCHOVETA,219581.40616597503,6802.298000000001,22648.110999999986,2
2023,12,8,ANCHOVETA,195176.6038930837,707.357,3442.1889999999994,2
2024,3,8,ANCHOVETA,190000,2137.582,33588.306000000004,1
2024,4,8,ANCHOVETA,190000,1276.102,19913.720999999998,1
2024,5,8,ANCHOVETA,190000,3197.828,35467.74000000001,1
2024,6,8,ANCHOVETA,190000,47.861,2342.348,1
2012,1,8,JUREL,186097.63210888137,14401,67118.57,4
2012,2,8,JUREL,208000,201,40430.758999999976,1
2012,9,8,JUREL,227000,1021,1569.272,1
2012,12,8,JUREL,150000,1452,5548.63,1
2013,1,8,JUREL,181769.4969501425,8492.2,36664.33799999999,3
2013,2,8,JUREL,161076.96978356733,9427.089,35920.64900000001,2
2013,12,8,JUREL,206600.36806662695,1580.021,7766.394000000002,2
2014,1,8,JUREL,189993.0944267919,9968.675,31785.55400000002,2
2014,2,8,JUREL,220000.00000000003,3861.926,39393.035000000025,1
2014,3,8,JUREL,220000,1565.656,25693.29000000001,1
2014,4,8,JUREL,220000,5133.715,60962.31299999999,1
2014,5,8,JUREL,219999.99999999997,1689.4340000000002,40609.817,1
2014,6,8,JUREL,220000,297.951,18459.384000000002,1
2014,8,8,JUREL,220000,890.346,966.558,1
2014,10,8,JUREL,220000.00000000003,871.8770000000001,1155.45,1
2014,12,8,JUREL,220000,2621.12,16199.979000000008,1
2015,2,8,JUREL,199999.99999999997,24.959999999999997,890.757,1
2015,3,8,JUREL,200000,205.852,2339.782,1
2015,5,8,JUREL,200000,7715.591,39832.279,1
2015,12,8,JUREL,176345,1845.197,9772.198,1
2016,1,8,JUREL,391266.5115725917,10931,63101.30599999995,2
2016,2,8,JUREL,405280.8652900689,5085,16778.29599999999,2
2016,3,8,JUREL,200000,734,23136.896999999994,1
2016,4,8,JUREL,200000,3841,45311.535,1
2016,5,8,JUREL,200000,2897,42374.87899999999,1
2016,6,8,JUREL,200000,3606,35130.141,1
2016,7,8,JUREL,200000,511,8906.078,1
2016,12,8,JUREL,200000,126,25606.500000000004,1
2017,1,8,JUREL,231200.868798688,4878,16891.037999999997,3
2017,3,8,JUREL,240000,2095,38018.313,1
2017,4,8,JUREL,240000,2895,53284.055000000044,1
2017,5,8,JUREL,240000,3620,70210.15200000005,1
2017,6,8,JUREL,240000,3107,28097.368999999977,1
2017,7,8,JUREL,240000,2409,39116.927,1
2017,8,8,JUREL,240000,1025,19115.254000000008,1
2018,1,8,JUREL,222489.86066774765,25656.735175,47351.376999999986,4
2018,2,8,JUREL,228507.75247705655,16437.074896,50823.719999999994,3
2018,3,8,JUREL,230000,3221.504,41463.056000000004,1
2018,4,8,JUREL,229999.99999999997,4204.216,42699.91799999999,1
2018,5,8,JUREL,230000,4946.322,65000.02299999998,1
2018,6,8,JUREL,230000.00000000003,2998.624,48543.682000000015,1
2018,7,8,JUREL,209571.96904001723,8917.09282,44127.09000000001,2
2018,8,8,JUREL,210171.4854725694,4468.935756000001,14828.783,2
2018,9,8,JUREL,200000,80.23,468.26800000000003,1
2018,12,8,JUREL,211338.17607319055,9468.13058,48925.97000000002,2
2019,1,8,JUREL,237792.8282087407,11370.66,51534.40599999996,2
2019,2,8,JUREL,230000,5272.96,69226.92299999997,1
2019,3,8,JUREL,230000.00000000003,5683.8499999999995,74661.76199999997,1
2019,4,8,JUREL,230000,5982.609999999999,57635.439000000006,1
2019,5,8,JUREL,230000,3740.869999999999,47756.269000000015,1
2019,6,8,JUREL,230000,3986.58,57878.86599999997,1
2019,7,8,JUREL,230000.00000000003,997.57,38361.60800000001,1
2019,12,8,JUREL,230000,1800.3400000000004,16949.671000000006,1
2020,1,8,JUREL,240811.09403464888,25999.14,80468.49799999999,3
2020,2,8,JUREL,220251.3319498468,10768.928000000002,101254.61999999994,2
2020,3,8,JUREL,189011.62699754108,6540.729000000001,77008.36200000002,2
2020,4,8,JUREL,189168.7731321334,12422.005999999998,60693.96099999997,3
2020,5,8,JUREL,180163,2794.6610000000005,66967.56999999998,1
2020,6,8,JUREL,213656.20727901175,8228.04,51810.274,2
2020,7,8,JUREL,210000,1684.0600000000002,24626.47599999998,1
2021,1,8,JUREL,240000,15788.829,90391.36099999998,2
2021,2,8,JUREL,239999.99999999997,5414.895,82934.48900000002,1
2021,3,8,JUREL,240000,6944.81,72784.29000000004,1
2021,4,8,JUREL,240000,8102.28,72216.459,1
2021,5,8,JUREL,240000,7515.709999999999,70915.00200000004,1
2021,6,8,JUREL,240000,8210.850000000004,65440.95300000001,1
2022,11,8,JUREL,245000,460.799,2569.584,1
2022,12,8,JUREL,245000,1804.84,55366.634999999995,1
2023,1,8,JUREL,290000,12740.93,97698.62099999994,1
2023,2,8,JUREL,290000,21805.724,116303.83099999995,1
2023,3,8,JUREL,290000,1290.983,95194.03399999999,1
2023,4,8,JUREL,290000,5806.167,93114.64700000003,1
2023,5,8,JUREL,290000,15996.909,91887.029,1
2023,6,8,JUREL,290000,4613.623,78410.46100000004,1
2023,11,8,JUREL,290000,3132.814,38833.76500000001,1
2024,1,8,JUREL,300000,20710.696,143748.72700000007,1
2024,3,8,JUREL,300000,9308.235,104545.81199999998,1
2024,4,8,JUREL,300000,19174.806,122618.51999999989,1
2024,5,8,JUREL,300000,9106.494,84925.71699999996,1
