year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina,Q_anchoveta,P_sardina
2021,1,240000,NA,364176.107562506,90400.38299999997,753.226,978.806,498028.876237874
2021,2,240000,NA,190618.279799937,84373.05900000002,4135.686,1155.0919999999999,161736.038836804
2021,3,240000,148998.66666666666,158498,72789.49000000003,184713.50999999995,56042.23800000011,148998.666666667
2021,4,240000,155398.33333333334,168097.5,72246.508,95610.41700000019,48236.96999999999,155398.333333333
2021,5,240000,160812,176218,70916.72200000004,20628.112000000005,41749.39,160812
2021,6,240000,159631,189262,65446.401000000005,5552.879000000003,15501.41700000001,159631
2021,7,242564.724474654,144209,144209,37352.678,1719.8900000000003,3353.3509999999983,144209
2021,8,244217.900911778,NA,161103.2752702,795.2,5.588,52.107000000000006,578297.346974143
2021,9,245871.077348901,NA,161676.819190499,59.688,2.6029999999999998,16.188000000000002,-29877.8383007958
2021,10,247524.253786025,NA,162276.340552813,9.5,4915.918000000001,338.657,276475.371758924
2021,11,249177.430223149,145512.5,161025,72.262,19248.929999999986,7250.078000000004,145512.5
2021,12,250830.606660272,NA,162192,31153.925999999996,6931.9569999999985,536.807,154230.491569624
2022,1,246797.639452087,NA,327490.974373225,97014.66299999996,13.216999999999999,33.513,480360.04827343
2022,2,254136.959567503,174062,186161,78072.56200000002,14733.465,1048.195,174062
2022,3,255790.135971644,182376,161695.5,82880.50599999998,110846.89700000001,91966.4719999998,182376
2022,4,257443.312408767,185527,168052.5,65485.17499999998,33162.710999999974,59670.838000000076,185527
2022,5,259096.488845891,197958,171073,90509.64799999997,10287.694000000001,23351.412,197958
2022,6,260749.665283015,186367,173214.5,72138.65099999997,12472.874000000003,15566.766000000001,186367
2022,7,262402.841720139,231917,228717,55775.65400000001,1201.318,1877.4179999999997,231917
2022,8,264056.018157262,NA,199648.057986774,13262.097,24.739,1059.2060000000001,580863.510230607
2022,9,265709.194594386,NA,196332.002284196,2876.5870000000004,0.36300000000000004,23.488,-1410.95137400305
2022,10,267362.37103151,206435,203429,170.68,7973.253,526.989,206435
2022,11,245000,171824.5,172375,2653.8039999999996,18881.948999999986,22373.05500000001,171824.5
2022,12,245000,164905.5,165320,55399.36,14344.204000000002,1273.6409999999998,164905.5
2023,1,290000,NA,338194.508842814,98336.59599999995,137.90699999999998,558.589,473403.924717888
2023,2,290000,193000,193000,116416.41099999995,5676.290999999999,1039.8540000000003,193000
2023,3,290000,176500,176500,95917.84099999999,206754.27699999974,38083.561,176500
2023,4,290000,181000,181000,93841.48000000003,101672.79099999997,47399.75199999994,181000
2023,5,290000,188500,188500,91945.89899999999,40972.83899999999,43375.229999999945,188500
2023,6,290000,190500,190500,78424.89100000005,8954.295,27267.955999999984,190500
2023,7,286441.877396933,231000,231000,21642.241999999995,2165.456,6538.208,231000
2023,8,287689.682941839,NA,224265.461056139,911.177,10.171000000000001,10.704,580863.510230607
2023,9,288937.488486746,NA,230624.500358659,19.58,0.17300000000000001,249.94500000000002,37828.9288174626
2023,10,290185.294031652,271000,271000,52.659,4059.0409999999993,2219.705999999999,271000
2023,11,290000,246000,203000,38856.918000000005,26515.151000000023,24344.917999999987,246000
2023,12,292733.999749603,223000,191500,68828.97399999997,13455.284999999996,5020.911999999999,223000
2024,1,299933.656257008,NA,356504.034753682,143748.73200000008,0.048,96.71600000000001,502317.014050097
2024,2,294904.135460761,NA,195484.406818768,124846.62100000007,5675.273999999992,3378.308999999998,212268.220899129
2024,3,299933.656257008,190000,190000,104571.62199999997,63773.90400000001,37704.742000000006,190000
2024,4,299933.656257008,190000,190000,122787.6279999999,10462.345000000001,22415.662999999997,190000
2024,5,299933.656257008,190000,190000,85034.45199999996,9202.513999999997,37413.006000000016,190000
2024,6,297542.315170875,190000,190000,31222.401999999987,954.9939999999998,2877.019,190000
2024,7,298016.160471902,NA,183593.713329295,68234.03600000004,13324.86200000001,6774.584999999996,222847.700014695
2024,8,298490.005772929,NA,179690.93522794,40839.33799999999,73.35,23.629,580863.510230607
2024,9,298963.851073956,NA,175788.157126584,3977.685,49.934,49.57899999999999,24705.5393629414
2024,10,299437.696374983,NA,171885.379025228,8932.036,2955.3580000000006,2569.7959999999994,257657.454182074
2024,11,299911.54167601,NA,167982.600923872,34756.84799999999,14975.000999999998,5608.3179999999975,211260.404397225
2024,12,299933.656257008,NA,164079.822822516,113863.534,8168.041000000002,2286.9910000000004,192256.905342481
