ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA,Q_MERCADO,N_PLANTAS
2024,11,3,JUREL,272174,6816.85,0,1
2024,12,3,JUREL,249618,9487.829,0,1
2018,4,3,SARDINA ESPAÑOLA,115514,47.653,0,1
2018,5,3,SARDINA ESPAÑOLA,109026,104.757,0,1
2018,6,3,SARDINA ESPAÑOLA,107268,65.92,0,1
2018,7,3,SARDINA ESPAÑOLA,114039,21.031,0,1
2018,8,3,SARDINA ESPAÑOLA,112427,18.495,0,1
2018,9,3,SARDINA ESPAÑOLA,118867,21.47,0,1
2019,3,3,SARDINA ESPAÑOLA,107952,57.52,0,1
2019,4,3,SARDINA ESPAÑOLA,113878,41.58,0,1
2019,5,3,SARDINA ESPAÑOLA,120164,67.77,0,1
2019,6,3,SARDINA ESPAÑOLA,126919,33.85,0,1
2019,7,3,SARDINA ESPAÑOLA,119655,136.38,0,1
2019,8,3,SARDINA ESPAÑOLA,120425,210.92,0,1
2020,1,3,SARDINA ESPAÑOLA,120405,55.28,0,1
2020,3,3,SARDINA ESPAÑOLA,152641,19.051,0,1
2020,7,3,SARDINA ESPAÑOLA,147496,226.195,0,1
2020,8,3,SARDINA ESPAÑOLA,119505,32.315,0,1
2020,10,3,SARDINA ESPAÑOLA,127365,14.98,0,1
2021,2,3,SARDINA ESPAÑOLA,131098,10.623,0,1
2021,3,3,SARDINA ESPAÑOLA,131235,1.105,0,1
2021,5,3,SARDINA ESPAÑOLA,125453,74.955,0,1
2021,6,3,SARDINA ESPAÑOLA,136158,18.6,0,1
2021,7,3,SARDINA ESPAÑOLA,134667,3.102,0,1
2021,10,3,SARDINA ESPAÑOLA,145852,3.022,0,1
2021,11,3,SARDINA ESPAÑOLA,145971,43.325,0,1
2021,12,3,SARDINA ESPAÑOLA,157389,66.959,0,1
2022,3,3,SARDINA ESPAÑOLA,153239,20.112,0,1
2022,4,3,SARDINA ESPAÑOLA,156031,12.232,0,1
2022,5,3,SARDINA ESPAÑOLA,171487,4.755,0,1
2022,7,3,SARDINA ESPAÑOLA,178871,46.638,0,1
2022,8,3,SARDINA ESPAÑOLA,181840,30.18,0,1
2022,12,3,SARDINA ESPAÑOLA,173849,72.289,0,1
2023,6,3,SARDINA ESPAÑOLA,185710,145.52,0,1
2023,7,3,SARDINA ESPAÑOLA,185419,376.218,0,1
2023,10,3,SARDINA ESPAÑOLA,224443,62.093,0,1
2023,11,3,SARDINA ESPAÑOLA,230301,505.336,0,1
2023,12,3,SARDINA ESPAÑOLA,211215,186.436,0,1
2024,7,3,SARDINA ESPAÑOLA,185419,158.68,0,1
2024,11,3,SARDINA ESPAÑOLA,230301,3.6,0,1
2024,12,3,SARDINA ESPAÑOLA,211215,73.825,0,1
2012,1,4,ANCHOVETA,73000,933,0,1
2012,2,4,ANCHOVETA,69000,1180,0,1
2012,3,4,ANCHOVETA,70000,4146,0,1
2012,4,4,ANCHOVETA,65000,6785,0,1
2012,5,4,ANCHOVETA,68000,3007,0,1
2012,6,4,ANCHOVETA,72000,3672,0,1
2012,7,4,ANCHOVETA,62000,401,0,1
2012,8,4,ANCHOVETA,65000,403,0,1
2012,9,4,ANCHOVETA,62000,477,0,1
2012,10,4,ANCHOVETA,64000,1339,0,1
2012,11,4,ANCHOVETA,73000,69,0,1
2012,12,4,ANCHOVETA,61000,388,0,1
2013,1,4,ANCHOVETA,89052,9.49,0,1
2013,2,4,ANCHOVETA,98294,79.703,0,1
2013,3,4,ANCHOVETA,85729,961.133,0,1
2013,4,4,ANCHOVETA,83260,1943.174,0,1
2013,5,4,ANCHOVETA,94370,4725.253,0,1
2013,6,4,ANCHOVETA,89800,3195.349,0,1
2013,7,4,ANCHOVETA,90820,542.189,0,1
2013,8,4,ANCHOVETA,85990,380.531,0,1
2013,11,4,ANCHOVETA,75930,9.534,0,1
2013,12,4,ANCHOVETA,71358,90.603,0,1
2014,1,4,ANCHOVETA,74840,871.279,0,1
2014,2,4,ANCHOVETA,74800,426.673,0,1
2014,3,4,ANCHOVETA,85940,2543.476,0,1
2014,4,4,ANCHOVETA,89150,4200.507,0,1
2014,5,4,ANCHOVETA,88050,5372.327,0,1
2014,6,4,ANCHOVETA,89730,3239.226,0,1
2014,7,4,ANCHOVETA,93010,1832.066,0,1
2014,8,4,ANCHOVETA,96780,285.738,0,1
2014,9,4,ANCHOVETA,109590,106.607,0,1
2014,10,4,ANCHOVETA,97260,1385.086,0,1
2015,1,4,ANCHOVETA,132883,464.406,0,1
2015,2,4,ANCHOVETA,108130,1171.422,0,1
2015,3,4,ANCHOVETA,104740,389.011,0,1
2015,4,4,ANCHOVETA,139260,2888.088,0,1
2015,5,4,ANCHOVETA,125900,1893.596,0,1
2015,6,4,ANCHOVETA,122190,2684.824,0,1
2015,7,4,ANCHOVETA,110532,216.285,0,1
2015,8,4,ANCHOVETA,111940,34.344,0,1
2016,7,4,ANCHOVETA,112870,824,0,1
2016,9,4,ANCHOVETA,117950,28,0,1
2017,7,4,ANCHOVETA,89000,928,0,1
2017,8,4,ANCHOVETA,88000,254,0,1
2017,10,4,ANCHOVETA,91000,3,0,1
2017,11,4,ANCHOVETA,88000,9,0,1
2017,12,4,ANCHOVETA,90000,12,0,1
2018,4,4,ANCHOVETA,78830,3807.574,0,1
2018,5,4,ANCHOVETA,86350,3272.049,0,1
2018,6,4,ANCHOVETA,86200,4254.333,0,1
2018,7,4,ANCHOVETA,92310,407.998,0,1
2019,2,4,ANCHOVETA,94410,2889.16,0,1
2019,3,4,ANCHOVETA,93550,6917.12,0,1
2019,4,4,ANCHOVETA,92420,4808.3,0,1
2019,5,4,ANCHOVETA,93160,2822.6,0,1
2019,6,4,ANCHOVETA,102830,4517.3,0,1
2019,7,4,ANCHOVETA,98300,1225.44,0,1
2020,3,4,ANCHOVETA,108990,5235.024,0,1
2020,4,4,ANCHOVETA,129670,5889.05,0,1
2020,5,4,ANCHOVETA,130870,5941.995,0,1
2020,6,4,ANCHOVETA,125630,2218.166,0,1
2020,7,4,ANCHOVETA,124011,5685.61,0,1
2020,8,4,ANCHOVETA,113739,1018.838,0,1
2021,2,4,ANCHOVETA,108680,1136.157,0,1
2021,3,4,ANCHOVETA,106900,2810.893,0,1
2021,4,4,ANCHOVETA,106790,8735.345,0,1
2021,5,4,ANCHOVETA,102880,6651.04,0,1
2021,6,4,ANCHOVETA,106200,3393.633,0,1
2021,7,4,ANCHOVETA,110480,4213.887,0,1
2021,8,4,ANCHOVETA,167000,292.91,0,1
2022,3,4,ANCHOVETA,126460,2267.257,0,1
2022,4,4,ANCHOVETA,124870,6063.252,0,1
2022,5,4,ANCHOVETA,134820,6205.286,0,1
2022,6,4,ANCHOVETA,147360,6733.984,0,1
2022,7,4,ANCHOVETA,165556,5733.316,0,1
2022,11,4,ANCHOVETA,162859,190.259,0,1
2022,12,4,ANCHOVETA,165556,103.855,0,1
2023,1,4,ANCHOVETA,148850,29.142,0,1
2023,2,4,ANCHOVETA,132110,125.082,0,1
2023,3,4,ANCHOVETA,145520,2802.009,0,1
