ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2015,8,SARDINA COMUN,124018,883.565,1,1,NA,0,2015-08-01,4677.280000000002,1167.29,3509.9900000000016,4,0,0.24956598706940777,0.7504340129305922
2015,10,ANCHOVETA,126881,9.297,1,1,NA,0,2015-10-01,1656.5610000000006,1645.1040000000007,11.457,3,0,0.9930838647052539,0.006916135294746162
2015,10,SARDINA COMUN,127608.7068702433,10352.006000000001,2,2,0.015603070212664539,0,2015-10-01,34077.630999999994,24220.09799999999,9857.533,4,1,0.7107330318824098,0.2892669681175901
2015,11,ANCHOVETA,117891.8842621057,161.019,2,2,0.1817619620200649,0,2015-11-01,9860.357999999998,193.828,9666.529999999999,4,1,0.019657298446973226,0.9803427015530268
2015,11,SARDINA COMUN,126827.093405315,18390.613,4,5,0.11946507742726933,0,2015-11-01,79735.07600000019,7047.602000000001,72687.47400000019,5,1,0.0883877253719553,0.9116122746280447
2015,12,ANCHOVETA,113089.27379960207,665.925,2,2,0.21815508582922008,0,2015-12-01,3558.8079999999995,22.592,3536.2159999999994,4,1,0.006348192990461975,0.993651807009538
2015,12,SARDINA COMUN,133488.81739481894,8459.173999999999,3,3,0.16915484584823692,0,2015-12-01,23926.19099999999,1019.238,22906.95299999999,4,1,0.0425992586952098,0.9574007413047901
2016,1,ANCHOVETA,117678,52,1,1,NA,0,2016-01-01,114.639,0,114.639,2,0,0,1
2016,1,SARDINA COMUN,117678,151,1,1,NA,0,2016-01-01,239.86900000000003,0,239.86900000000003,3,0,0,1
2016,2,ANCHOVETA,97867,199,1,1,NA,0,2016-02-01,1383.087,528.2739999999999,854.813,3,0,0.38195283449269635,0.6180471655073035
2016,2,SARDINA COMUN,97867,191,1,1,NA,0,2016-02-01,29493.965000000004,13750.242999999999,15743.722000000005,4,1,0.4662053067466513,0.5337946932533487
2016,3,ANCHOVETA,120800.68085106384,282,3,3,0.10816223189242778,0,2016-03-01,30622.06000000004,672.4669999999999,29949.59300000004,4,1,0.021960214303022037,0.9780397856969779
2016,3,JUREL,114000,4,1,1,NA,0,2016-03-01,23188.494999999995,23012.976999999995,175.518,3,0,0.9924308153677072,0.00756918463229287
2016,3,SARDINA COMUN,121408,858,2,2,0,0,2016-03-01,40715.301000000014,13709.154,27006.147000000015,4,1,0.3367076667319737,0.6632923332680264
2016,4,ANCHOVETA,109314.44176706827,249,3,3,0.07338768431952482,0,2016-04-01,9916.19400000001,0,9916.19400000001,4,1,0,1
2016,4,SARDINA COMUN,103773.63401109057,1082,3,3,0.07338768431952482,0,2016-04-01,16313.857000000009,0,16313.857000000009,4,1,0,1
2016,5,ANCHOVETA,100000,939,1,1,NA,0,2016-05-01,8370.931999999997,278.19,8092.741999999999,5,1,0.03323285865898804,0.9667671413410123
2016,5,SARDINA COMUN,100000,3077,1,1,NA,0,2016-05-01,26720.11800000001,3210.3749999999995,23509.74300000001,5,1,0.1201482343753122,0.8798517656246878
2016,6,ANCHOVETA,100000,291,1,1,NA,0,2016-06-01,5474.125,1048.6839999999997,4425.441000000001,4,1,0.1915710730025346,0.8084289269974655
2016,6,SARDINA COMUN,100000,466,1,1,NA,0,2016-06-01,33770.975,18990.001999999997,14780.973,5,0,0.5623172561645021,0.4376827438354978
2016,7,ANCHOVETA,100000,319,1,1,NA,0,2016-07-01,2900.6509999999994,133.798,2766.8529999999996,4,0,0.046126886688539925,0.9538731133114602
2016,7,SARDINA COMUN,100000,541,1,1,NA,0,2016-07-01,20547.013,9758.721000000001,10788.291999999998,4,0,0.4749459690320925,0.5250540309679075
2016,10,SARDINA COMUN,116186,2307,1,1,NA,0,2016-10-01,28470.199000000004,17379.022,11091.177000000003,5,1,0.6104285396810889,0.38957146031891104
2016,11,SARDINA COMUN,101916,1137,1,1,NA,0,2016-11-01,60041.66000000004,5718.536000000001,54323.12400000004,4,2,0.09524280308039447,0.9047571969196055
2016,12,SARDINA COMUN,118756,2937,1,1,NA,0,2016-12-01,25501.561999999998,2666.308,22835.254,4,2,0.10455469355171264,0.8954453064482875
2017,1,JUREL,228999.95848282933,3902,1,2,NA,0,2017-01-01,16897.188,9054.778,7842.409999999998,2,1,0.5358748449742052,0.46412515502579477
