year,month,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD
2022,9,1573771.565625,921.0075,1708.75
2022,10,1645333.8157894732,955.894736842105,1721.25
2022,11,1600257.2357142852,917.0528571428569,1745
2022,12,1613406.182142856,875.661428571428,1842.5
2023,1,1617138.9928571421,826.335714285714,1957
2023,2,1508507.1106250002,798.2575,1889.75
2023,3,1542104.9543478256,809.503913043478,1905
2023,4,1609683.2763157892,803.836842105263,2002.5
2023,5,1677134.4545454555,798.635454545455,2100
2023,6,1679732.25,799.8725,2100
2023,7,1708134.0000000005,813.3971428571431,2100
2023,8,1865337.80909091,855.6595454545459,2180
2023,9,1989908.2894736833,884.403684210526,2250
2023,10,1980529.886,926.347,2138
2023,11,1961634.1071428575,886.6142857142859,2212.5
2023,12,1836798.1578947364,874.665789473684,2100
2024,1,1884980.6345454543,907.9868181818181,2076
2024,2,1965422.4571428567,963.4423809523807,2040
2024,3,1974582.3,967.9325,2040
2024,4,1838664.6181818186,960.138181818182,1915
2024,5,1688893.9428571428,917.8771428571429,1840
2024,6,1720195.5552631582,926.081052631579,1857.5
2024,7,1706360.8545454547,937.5609090909091,1820
2024,8,1618017.714285714,929.895238095238,1740
2024,9,1518991.6888888886,926.2144444444442,1640
2024,10,1391380.2863636368,933.812272727273,1490
2024,11,1479261,971.6,1522.5
2024,12,1566762.12,982.296,1595
2025,1,NA,NA,1585
2025,2,NA,NA,1618.75
2025,3,NA,NA,1661.67
2025,4,NA,NA,1669
2025,5,NA,NA,1610
2025,6,NA,NA,1666.67
2025,7,NA,NA,1704
2025,8,NA,NA,1755
2025,9,NA,NA,1785
2025,10,NA,NA,1890
