year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date,IPC_index,P_anchoveta_real,P_sardina_real,P_jurel_real,P_FOB_real
2016,1,453160.333333333,117678.00000000004,200000.0000000001,114.639,239.86899999999997,63323.89299999995,1227311.6,721.948,1700,2016-01-01,114.7452941225666,394927.1617616703,102555.8397839835,174299.08697289808,1069596.456556233
2016,2,524522.0698057187,108933.5,200000.0000000001,1383.0869999999998,29493.965,16778.29599999999,1172301.1285714288,704.084761904762,1665,2016-02-01,115.08953000493429,455751.33531541104,94651.09466980153,173777.75371176284,1018599.2839845363
2016,3,310097.4000000003,120938.6666666666,156999.9999999999,30622.06000000004,40715.301000000014,23188.494999999995,1166335.8136363633,682.067727272727,1710,2016-03-01,115.54988812495404,268366.6812941137,104663.59477205656,135872.04846985426,1009378.574538388
2016,4,114443.99999999993,111944,200000.0000000001,9916.19400000001,16313.857000000007,45311.535,1102038.7666666666,669.932380952381,1645,2016-04-01,115.89653778932889,98746.69440775762,96589.59804604895,172567.7089366987,950881.5256154583
2016,5,115000.00000000007,109999.99999999993,200000.0000000001,8370.931999999999,26720.11800000001,42376.958999999995,1208615.380681819,681.870454545455,1772.5,2016-05-01,116.12833086490755,99028.37588682811,94722.7943265311,172223.26241187492,1040758.4193109648
2016,6,524522.0698057187,109999.99999999993,200000.0000000001,5474.125000000001,33770.975,35130.141,1309020.2009523814,681.071904761905,1922,2016-06-01,116.59284418836717,449875.01030363573,94345.41267582781,171537.11395605074,1122727.736907705
2016,7,100000,118304.25,200000.0000000001,2900.6509999999994,20547.013,8906.078,1155128.4728428577,657.567142857143,1756.67,2016-07-01,116.8260298767439,85597.36225351831,101265.31743380793,171194.72450703668,988759.5033928347
2016,8,288725.6626285472,328363.7929756713,204487.81133792992,26.24,71.38700000000003,8462.757000000001,1167553.8854545443,658.890454545454,1772,2016-08-01,116.8260298767439,247141.55135902864,281070.74538277823,175036.17263521894,999395.3288375543
2016,9,387794.2435201824,30140.80176489583,206702.35566144873,13.1,208.07800000000003,105.382,1063125.485714286,668.632380952381,1590,2016-09-01,117.05968193649741,331279.0852537539,25748.234803206306,176578.60694818964,908190.9912338655
2016,10,524522.0698057187,121107.33333333328,208940.88286457615,1918.88,28470.199000000008,3670.677999999999,1048996.9263157896,663.922105263158,1580,2016-10-01,117.29380130037039,447186.52135972877,103251.26476479099,178134.63332943953,894332.790553423
2016,11,515901.87239083834,117263.0000000001,211203.65267501745,12210.441,60041.66000000004,3042.278,1059127.014285714,666.117619047619,1590,2016-11-01,117.41109510167075,439397.88820136565,99873.86617802823,179883.89640018955,902067.230842686
2016,12,524522.0698057187,119794.75000000004,200000.0000000001,972.131,25501.562,25621.550000000003,1059129.3511904755,667.168095238095,1587.5,2016-12-01,117.17627291146742,447635.05168151367,102234.64787151151,170683.01886603798,903876.975154092
2017,1,482734.4590241298,163495.0175822332,232633.00000000003,46.971,202.532,16897.188,1020718.6785714292,661.194285714286,1543.75,2017-01-01,117.76215427602475,409923.25759652816,138834.94114672393,197544.78969086072,866762.9127936545
2017,2,223227.80957699183,100000,219196.849804964,1341.0929999999998,20605.559000000005,4012.23,963206.22625,643.2095,1497.5,2017-02-01,117.99767858457679,189179.8315481178,84747.42994907594,185763.69673904308,816292.5218563566
2017,3,98060.00000000007,101305.40000000008,240000.00000000015,13893.260000000002,169656.5179999997,38980.798,992465.1156521736,661.202608695652,1501,2017-03-01,118.4696692989151,82772.24084468519,85511.67619485184,202583.49788623743,837737.7277453599
2017,4,116899.33333333336,113139.59999999992,240000.00000000015,6200.24,34265.10799999998,53285.75500000004,973778.8499999996,655.743333333333,1485,2017-04-01,118.70660863751293,98477.52764153315,95310.2790978448,202179.1396070234,820324.0419188187
2017,5,104229.99999999996,105857.99999999994,179999.99999999997,8768.418,30949.61300000003,70295.02900000004,937919.1369500008,671.539545454546,1396.67,2017-05-01,118.82531524615044,87716.99850666012,89087.07692524251,151482.871833434,789326.0245151223
2017,6,110053.99999999993,108776.99999999993,240000.00000000015,2075.8160000000003,13014.722,28097.368999999977,934540.4333333328,665.153333333333,1405,2017-06-01,118.35001398516583,92990.27207026293,91911.26924043642,202788.31570740844,789641.1684839086
2017,7,108834.22854844834,196265.49999999985,240000.00000000015,1699.8279999999995,12926.533999999998,39117.077000000005,939539.7142857136,658.171428571428,1427.5,2017-07-01,118.58671401313616,91776.07243286334,165503.7848323034,202383.5486101881,792280.7559889369
2017,8,106262.33797820251,594627.2499999998,240000.00000000015,93.338,93.36199999999997,19115.254000000008,949612.4399999996,644.241818181818,1474,2017-08-01,118.82388744116244,89428.43082020862,500427.36591532495,201979.5894313254,799176.3781253289
2017,9,103770.58524047752,35110.51936562343,227497.71704706055,18.044,24.795,4576.857,913290.7052631588,625.541578947369,1460,2017-09-01,118.58623966628011,87506.43036873746,29607.583025172084,191841.5810192431,770148.9716119671
2017,10,95000.00000000006,213770.8333333331,227400.4747717507,3043.841,20624.766999999996,3,935663.485625,629.5465,1486.25,2017-10-01,119.29775710427779,79632.67902594419,179190.99111517804,190615.88439838032,784309.3687060181
2017,11,96041,230635.3333333331,227303.2740619578,15477.358000000007,28720.390000000032,8.713999999999999,988677.4857142856,633.767619047619,1560,2017-11-01,119.41705486138206,80424.86067964353,193134.33378595038,190344.06293624378,827919.8367954487
2017,12,97031.00000000006,196958.5000000001,227206.11489991445,4618.351000000001,13904.765000000009,13798.444,1138501.085526315,636.923684210526,1787.5,2017-12-01,119.53647191624341,81172.71527637819,164768.54038155367,190072.6290960911,952429.887945863
2018,1,182449.4173141781,347128.85243017314,223732.99999999997,9.254,25.075999999999997,47397.35699999999,1163826.0390909084,605.528636363636,1922,2018-01-01,120.13415427582461,151871.39611877518,288951.01024574175,186235.96374292971,968771.9917008753
2018,2,215569.9999999999,167784.99999999994,227307.66666666677,2141.9160000000006,15461.511,50863.59,1195665.47387,596.839,2003.33,2018-02-01,120.13415427582461,179441.06012105208,139664.6948666824,189211.52609504774,995275.2246665724
2018,3,117380.66666666676,116677.8571428572,230000.0000000002,15468.492000000004,129505.82700000008,41909.306,1046977.488095238,603.445238095238,1735,2018-03-01,120.37442258437625,97512.96342409366,96929.11055176366,191070.4907753822,869767.4020918861
2018,4,127970,123340.99999999996,230000.0000000002,11899.627,76365.92200000002,42882.01299999999,982646.0416666666,600.547619047619,1636.25,2018-04-01,120.73554585212935,105991.98363399212,102157.98431976415,190498.99379400024,813882.9660572046
2018,5,146283.99999999997,117008.6,230000.0000000002,7508.449,31355.127999999968,65005.52299999998,971736.761904761,626.119047619047,1552,2018-05-01,121.09775248968573,120798.27824423037,96623.26310305882,189929.20617547384,802439.9643482456
2018,6,155508.9999999999,129719.99999999996,230000.0000000002,5597.892,23661.932000000004,48548.88200000002,1017833.9047619055,636.146190476191,1600,2018-06-01,121.2188502421754,128287.80316701438,107013.05922374337,189739.46670876507,839666.3577722773
2018,7,89999.99999999997,98620.6666666666,210000.0000000001,16.051000000000002,1343.4790000000005,44127.09000000001,1043851.2,652.407,1600,2018-07-01,121.70372564314411,73950.07796548084,81033.39987786328,172550.1819194554,857698.6402706751
2018,8,120071.87921524304,511779.4977723752,210000.0000000001,0.7150000000000001,60.001000000000005,14828.786,1050001.4545454544,656.250909090909,1600,2018-08-01,121.9471330944304,98462.2402908519,419673.2508472143,172205.770378698,861030.0446607303
2018,9,124170.15039085112,13509.318726401149,210000.0000000001,98.484,161.82000000000002,474.97600000000006,1111593.2573529412,680.914705882353,1632.5,2018-09-01,122.31297449371368,101518.38012674027,11044.877930832648,171690.6982838465,908810.5836311519
2018,10,133029.00000000006,119849.19999999994,231218.9675540785,1658.6150000000002,12456.343,30.945,1088360.1818181816,676.840909090909,1608,2018-10-01,122.80222639168854,108327.84055208601,97595.29897913279,188285.64786487274,886270.7247234759
2018,11,127084.33333333334,119196.42857142864,234707.0990230701,15864.485000000032,47184.33100000007,12.635,1070626.96,677.612,1580,2018-11-01,122.80222639168854,103486.99455007163,97063.73579192375,191126.09430585656,871830.2521528729
2018,12,142992.66666666672,130350.71428571425,210000.0000000001,1416.9730000000002,7839.774000000002,48958.817000000025,1040029.934210526,681.986842105263,1525,2018-12-01,122.67942416529685,116557.98650799015,106253.11878712536,171177.84944690356,847762.3214217256
2019,1,186540.64542231424,594627.2499999998,234999.9999999999,199.34,68.83,51711.32699999996,1022363.3454545452,677.061818181818,1510,2019-01-01,122.80210358946213,151903.46090970514,484215.850233225,191364.80005719193,832529.1795264296
2019,2,116019.00000000007,182807.99999999997,230000.0000000002,92.641,12962.758,69625.81399999998,991019.795,656.3045,1510,2019-02-01,122.80210358946213,94476.39462908669,148863.89944193678,187293.2085666136,807005.5528633804
2019,3,143172,245309.83333333337,297824.1432406243,31798.80000000004,108830.0610000003,75045.51199999997,1014871.4285714296,667.678571428572,1520,2019-03-01,123.41611410740943,116007.54166947515,198766.4537224365,241317.06414077093,822316.7905677081
2019,4,131746.33333333323,247995.00000000015,230000.0000000002,44711.911000000015,65829.34599999996,57823.213,1075847.2647619054,667.399047619048,1612,2019-04-01,123.78636244973164,106430.41020519045,200341.13216688822,185803.9895900494,869116.147749148
2019,5,136960.66666666657,263070.9999999998,230000.0000000002,26871.669,32305.721000000016,47759.85200000001,1127966.2095238103,692.00380952381,1630,2019-05-01,124.52908062443004,109982.87787872554,211252.66378011848,184695.81470183836,905785.3827136717
2019,6,132715.6666666666,248306.71428571417,230000.0000000002,13108.639999999998,14043.367000000007,57879.61599999997,1107854.4,692.409,1600,2019-06-01,124.52908062443004,106574.03555955469,199396.56909102845,184695.81470183836,889635.0912131136
2019,7,122358.66666666669,101409.80000000002,230000.0000000002,4331.212000000001,7664.082999999995,38361.75800000001,1072997.1290909098,686.059545454546,1564,2019-07-01,124.77813878567889,98060.9807594839,81272.08899483847,184327.16038107622,859923.9734885839
