year,month,P_anchoveta,P_sardina_comun,P_jurel,Q_anchoveta,Q_jurel,Q_sardina_comun
2023,8,261527.429700416,274203.781412736,312353.598961336,10.704,911.177,10.171
2023,9,305170.392729463,243363.942324454,284080.520647227,249.945,19.58,0.173
2023,10,271000,271000,270023.208275799,2219.706,52.659,4059.041
2023,11,203000,246000,290000,24344.918,38856.918,26515.151
2023,12,191500,223000,282398.912242962,5020.912,68828.974,13455.285
2024,1,170569.698085239,231930.365923982,3e+05,96.716,143748.732,0.048
2024,2,202902.892456663,206846.066355813,295606.503547248,3378.309,124846.621,5675.27399999999
2024,3,190000,190000,3e+05,37704.742,104571.622,63773.904
2024,4,190000,190000,3e+05,22415.663,122787.628,10462.345
2024,5,190000,190000,3e+05,37413.006,85034.452,9202.514
2024,6,190000,190000,304616.162631188,2877.019,31222.402,954.994
2024,7,205116.988777227,173911.256087131,295369.729118738,6774.585,68234.036,13324.862
2024,8,219384.01740646,204917.155463803,320343.308080963,23.629,40839.338,73.35
2024,9,247268.943686861,162392.705667996,288013.856916271,49.579,3977.685,49.934
2024,10,197714.455833922,179061.685443187,270018.149361306,2569.796,8932.036,2955.358
2024,11,193556.829394861,173202.872215719,286148.475790589,5608.318,34756.848,14975.001
2024,12,179145.586869653,174377.258824838,288116.206429193,2286.991,113863.534,8168.041
