"","ANIO","MES","SST_Costa","SST_Oceano","Clorofila","viento_velocidad"
"70",2017,10,12.0150919035378,12.059854261889,4.73375057168048,6.18959905678084
"71",2017,11,12.8834079040163,13.099035844936,5.34374540103908,8.30116255047233
"72",2017,12,13.2487277554608,13.6043105250221,5.72955884872759,6.86668146856114
"73",2018,1,13.9519809732234,14.5925736152973,6.62915646455583,6.96769179713035
"74",2018,2,14.3389733296353,15.1080310659583,4.44712322440609,5.29868805113687
"75",2018,3,14.0726746409651,15.0997454148156,4.82318131300504,6.84956443934802
"76",2018,4,13.074170233599,13.797755445939,4.73564442024822,5.85893699536636
"77",2018,5,12.3807244117031,12.9349681804814,2.68247356936979,5.98178882532449
"78",2018,6,10.927189232052,11.6502942799473,2.27094680355354,7.67430615750802
"79",2018,7,10.9051355197875,11.5713596300362,2.51133712310153,7.41960634242834
