ANIO,MES,NM_RECURSO,Precio_Real,Q_Mercado,D_Shock,P_Harina,P_Diesel,SST,Viento
2014,3,JUREL,348497.3585743029,25693.29000000001,0,1429075.725937431,1114.6726250386384,12.127348479452005,6.738190121297619
2014,3,SARDINA COMUN,142939.08749796913,196371.71999999965,0,1429075.725937431,1117.2836241370176,12.260868707352117,6.749040971214111
2014,4,ANCHOVETA,157570.39669889817,27781.180000000037,0,1417018.3281376678,1082.3781769030609,12.460551953532828,6.058575523345864
2014,4,JUREL,346418.8455012951,60962.31299999999,0,1417018.3281376678,1083.6991423099687,12.428685239530529,6.044764408026865
2014,4,SARDINA COMUN,145541.1494470072,119650.44299999997,0,1417018.3281376678,1087.0765152120089,12.485419692332394,6.115022347884014
2014,5,ANCHOVETA,159778.6068851327,9154.470000000001,0,1460495.2432645692,1105.670837207325,12.336987694857639,6.050865180562299
2014,5,JUREL,345382.697409068,40609.817,0,1460495.2432645692,1108.9870294315772,12.293166085874324,5.881731735877347
2014,5,SARDINA COMUN,151093.630174687,48240.69200000004,0,1460495.2432645692,1112.9891734274622,12.291765062028672,6.0253634107110745
2014,6,ANCHOVETA,158513.5495444768,1423.0660000000007,0,1635046.2429860677,1082.3484922651905,12.157374095232347,7.607146232405676
2014,6,JUREL,345037.6597493188,18459.384,0,1635046.2429860677,1081.5957172659093,12.134329440129491,7.708535877211984
2014,6,SARDINA COMUN,151459.43358873087,42361.61700000003,0,1635046.2429860677,1086.5704325221966,12.10192609847885,7.4630405546343255
2014,7,ANCHOVETA,150677.71435958953,1962.9820000000009,0,1665310.3883706836,1100.513374862909,11.655773300058195,8.177540658463755
2014,7,SARDINA COMUN,151147.86174229297,41888.491999999984,0,1665310.3883706836,1106.5483311001974,11.523594235446257,7.598582692208121
2014,8,JUREL,343319.0048112337,966.558,0,1707868.9161217,1082.1006062302663,11.815307907487448,6.423407696122309
2014,8,SARDINA COMUN,185798.00324011585,36.909000000000006,0,1707868.9161217,1091.7098484159815,10.396593126934022,6.649700055017784
2014,10,ANCHOVETA,164996.60821390542,2288.398999999998,0,1899108.7839271273,1063.7822234857244,13.151103231233195,6.686254252593593
2014,10,JUREL,337222.03049979743,1155.45,0,1899108.7839271273,1063.7822234857244,13.151103231233195,6.686254252593593
2014,10,SARDINA COMUN,161250.74394028488,32344.136000000024,0,1899108.7839271273,1067.1509312618393,13.076080558848622,6.751846094327012
2014,11,ANCHOVETA,183644.12979323938,2810.5949999999993,0,2170450.2065161746,1035.8798534582704,13.16600355341445,6.77956138096304
2014,11,SARDINA COMUN,172019.1415958129,44138.743999999984,0,2170450.2065161746,1045.0445920106317,13.1521441144336,6.74960447541827
2014,12,ANCHOVETA,176259.76247326483,334.15800000000013,0,2267626.206952448,1006.1236287226742,13.497933793286085,7.31372433635293
2014,12,JUREL,338576.33584317006,16199.979000000008,0,2267626.206952448,1006.1236287226741,13.497933793286087,7.31372433635293
2014,12,SARDINA COMUN,191257.87356629974,5792.637999999999,0,2267626.206952448,1018.9114012365676,13.669285250866974,7.436588493959181
2015,2,JUREL,306264.1232754659,890.757,1,2208341.1484935316,789.158159026179,13.12357060058595,5.791323522953508
2015,2,SARDINA COMUN,153132.061637733,147.054,0,2208341.1484935316,789.158159026179,13.12357060058595,5.791323522953508
2015,3,JUREL,304437.49828575144,2339.782,1,2025017.5152360215,806.6019027857142,14.642687727334371,5.5925811227848
2015,3,SARDINA COMUN,182145.33644069705,59057.369999999995,0,2025017.5152360215,806.6019027857142,14.642687727334373,5.5925811227848
2015,4,SARDINA COMUN,170229.0340031822,94780.00800000007,0,1826814.194607886,815.7743685640852,14.14446633072713,6.4440290726531035
2015,5,JUREL,302017.73221524287,39832.279,1,1679070.936237037,812.4276996590033,13.164207308703372,6.527840079060266
2015,5,SARDINA COMUN,172719.24372278526,65080.8,0,1679070.936237037,812.4276996590033,13.164207308703372,6.527840079060266
2015,6,SARDINA COMUN,155992.21802410838,8938.752000000002,0,1590312.9851769635,837.7119050362065,13.00386910471492,6.8816992826940195
2015,7,ANCHOVETA,150304.18603799812,167.306,0,1572598.2685311507,801.6027439464219,12.146191886295135,7.6249898851092
2015,7,SARDINA COMUN,157008.65870119372,12821.135000000006,0,1572598.2685311507,840.5643274849152,11.850872688447751,7.366269807852309
2015,8,SARDINA COMUN,184313.8304305984,1768.215,0,1718082.2813909154,835.7770316652582,11.600658942173027,7.58323468684341
2015,10,ANCHOVETA,186883.09577291395,14.651000000000002,0,1869913.1188109638,787.3322985852412,12.170575949248542,7.860628911977458
2015,10,SARDINA COMUN,189780.67273838414,34046.121999999996,0,1869913.1188109638,773.2918254968771,12.803653134844954,7.052080554522538
2015,11,ANCHOVETA,169005.48144952962,163.42399999999998,0,2027189.352783252,744.5519687032205,13.590614123588912,7.151221290197627
2015,11,SARDINA COMUN,188124.18927229405,79734.6260000002,0,2027189.352783252,754.7554542453698,13.535585471362337,5.857205991572524
2015,12,ANCHOVETA,167298.70401773753,684.382,0,1908581.4801719936,735.4002803925256,14.5685671299474,5.5526316056813
2015,12,JUREL,259738.64900240788,9772.198,1,1908581.4801719936,752.6521854332724,13.419844199822425,5.787359592064063
2015,12,SARDINA COMUN,189378.0584709619,23550.10199999999,0,1908581.4801719936,757.1537201503252,13.592672218069199,5.434640215441347
2016,1,ANCHOVETA,172465.66361425095,114.417,0,1798714.369342342,684.8411836685275,16.757837272038863,7.195982002386692
2016,1,JUREL,573429.5158687268,63101.30599999995,1,1798714.369342342,692.9126628464802,15.5776818624418,6.804520899597863
2016,1,SARDINA COMUN,172465.66361425095,239.663,0,1798714.369342342,684.8411836685275,16.757837272038863,7.195982002386692
2016,2,ANCHOVETA,143002.19636249138,372.381,0,1712953.6634814772,622.2578271044038,16.879364896116073,7.020181961224337
2016,2,JUREL,592191.9940344637,16778.29599999999,1,1712953.6634814772,627.9586240953081,14.02113192175226,6.5275002959419854
2016,2,SARDINA COMUN,173573.45023264593,14091.814,0,1712953.6634814772,627.6467517547682,14.177496691265299,6.554453331515415
2016,3,ANCHOVETA,188137.88814136566,30316.91000000004,0,1697447.4204730464,577.3689741181217,13.012475154041681,6.257161587483905
2016,3,JUREL,290911.43704903213,23166.899999999994,1,1697447.4204730464,577.3366131725817,13.014229435963802,6.257119977338633
2016,3,SARDINA COMUN,174913.30805272624,33592.57300000001,0,1697447.4204730464,577.3961616474487,13.015048696549965,6.256795722814193
2016,4,ANCHOVETA,184529.076492469,7710.629000000009,0,1599074.3548024944,605.7845160557724,12.60962286103102,4.94223778840817
2016,4,JUREL,290202.92265020945,45311.535,1,1599074.3548024944,605.539491279946,12.56726686475942,4.96234772916299
2016,4,SARDINA COMUN,169340.52779513036,10562.439000000008,0,1599074.3548024944,605.3963947668818,12.783605089122004,4.8441070957013945
2016,5,ANCHOVETA,182958.37287220763,7397.781999999997,0,1750218.14288353,604.9957272410007,13.58554046450449,4.158301093149513
2016,5,JUREL,289659.21449702076,42376.958999999995,1,1750218.14288353,605.6752373184898,13.53529155209982,3.8832310086258164
2016,5,SARDINA COMUN,167746.0611526078,12876.458000000004,0,1750218.14288353,604.515093245082,13.621082741741748,4.35286485057144
2016,6,ANCHOVETA,144234.89805757484,263.46700000000004,0,1888063.9523967286,634.6335514533293,12.91169927814044,6.5196029690991315
2016,6,JUREL,288469.7961151497,35130.141,1,1888063.9523967286,641.8452963562081,12.720149895090325,5.464590553519893
2016,6,SARDINA COMUN,172642.96722571875,25296.141999999993,0,1888063.9523967286,641.7355687453653,12.723064343180702,5.480642700861484
2016,7,ANCHOVETA,143947.0040494759,319.473,0,1662772.8295797573,651.0192662090243,12.379240234968282,6.505519809777079
2016,7,JUREL,287894.0080989518,8906.078,1,1662772.8295797573,674.1860753945809,11.478890988767777,6.248123649040715
2016,7,SARDINA COMUN,180822.92127894078,14590.209,0,1662772.8295797573,673.3171197251947,11.51266187087964,6.257778230789916
2016,10,SARDINA COMUN,174361.5640930242,16075.666,0,1503977.7212069544,665.9160961166608,13.232296290222749,5.254535320421671
2016,11,SARDINA COMUN,174719.89069537973,51071.78700000003,0,1516984.5414912235,698.2448318304089,13.485747116116375,6.964306232434714
2016,12,JUREL,287033.48515714874,25606.500000000004,1,1520027.9445221594,684.0110463253839,14.488916347307098,5.660734000435185
2016,12,SARDINA COMUN,171841.26539978056,14429.217000000004,0,1520027.9445221594,684.0110463253839,14.4889163473071,5.660734000435185
2017,1,JUREL,330161.1499634234,16891.037999999997,1,1457614.1277380935,711.1065891162269,14.397600033225736,5.333323595397599
2017,2,SARDINA COMUN,142517.69354681124,7532.133000000001,0,1372739.2977507801,712.3245460793399,14.75604576776623,5.2257992142719605
2017,3,ANCHOVETA,141906.45528360916,13093.250000000004,0,1408803.1793667038,719.2881638386717,14.989102307446466,3.3581783717264333
2017,3,JUREL,340679.74553022604,38018.313,1,1408803.1793667038,719.4230922585823,14.984708407990837,3.344342282964591
2017,3,SARDINA COMUN,147321.23480819198,159676.0219999997,0,1408803.1793667038,719.349714755498,14.987097922157465,3.351866699588381
2017,4,ANCHOVETA,179589.00770366212,5884.424999999999,0,1379519.0070721724,699.4448436481326,14.637866346362676,6.307626208252369
2017,4,JUREL,339999.74603814975,53284.05500000005,1,1379519.0070721724,701.3019453002946,14.594789635619293,6.264154193101922
2017,4,SARDINA COMUN,162106.29276512412,28049.017999999982,0,1379519.0070721724,700.5477860543227,14.61228286204304,6.281807950573182
2017,5,ANCHOVETA,148813.67047754428,8351.587,0,1327390.3944693676,702.4272830929384,14.692571485548001,4.960114086988169
2017,5,JUREL,339455.0264371402,70295.02900000004,1,1327390.3944693676,707.3957342305474,14.499749298194722,4.227876915517906
2017,5,SARDINA COMUN,155035.59185919072,20255.11300000003,0,1327390.3944693676,706.5375297696653,14.5330556258128,4.354356816310876
2017,6,ANCHOVETA,169263.11799176864,1680.246,0,1327920.3644235432,694.5837983218098,13.279621606543616,7.505558368768799
2017,6,JUREL,341024.18268292927,28097.368999999977,1,1327920.3644235432,700.0468638963464,13.17292545588257,8.095132332127656
2017,6,SARDINA COMUN,149066.35644205965,9127.382000000001,0,1327920.3644235432,698.9805110626223,13.193751810802267,7.980051548648133
2017,7,JUREL,340343.4956915462,39116.927,1,1332359.2945876513,677.3780962860912,11.903288178335384,9.19698501427731
2017,7,SARDINA COMUN,138313.7464010471,10521.101999999995,0,1332359.2945876513,677.3780962860912,11.903288178335384,9.19698501427731
2017,8,JUREL,339664.1673568325,19115.254000000008,1,1343955.4947678747,679.2194679933583,11.625042333685917,6.167915455762454
2017,10,ANCHOVETA,133916.3412100007,2871.225,0,1318954.0063020643,740.7427091959026,12.179361625572216,5.793590472013146
2017,10,SARDINA COMUN,150049.69194024478,14886.659,0,1318954.0063020643,740.7427091959026,12.179361625572218,5.793590472013146
2017,11,ANCHOVETA,135248.5338466763,15138.645000000006,0,1392292.6707351587,744.2274188678771,12.614493046400066,8.820723801163012
2017,11,SARDINA COMUN,188631.1727614933,21539.331000000027,0,1392292.6707351587,744.2274188678771,12.614493046400066,8.820723801163012
2017,12,ANCHOVETA,136506.18274882052,4299.402000000001,0,1601678.1981076738,774.9552571489018,12.806856115276997,7.287419905206048
2017,12,SARDINA COMUN,142821.05618718776,6915.819000000007,0,1601678.1981076738,774.9552571489018,12.806856115276995,7.287419905206048
2018,1,JUREL,311448.3090527018,47351.376999999986,0,1629160.3168724142,774.2104949604528,13.304964466344,6.78514782028861
2018,2,ANCHOVETA,301761.67031158315,380.598,0,1673730.159711007,781.157806707905,13.777141502884392,5.54783713142763
2018,2,JUREL,319872.3433994636,50823.719999999994,0,1673730.159711007,781.1578067079049,13.777141502884392,5.54783713142763
2018,2,SARDINA COMUN,244207.88568292925,6600.905,0,1673730.159711007,781.157806707905,13.77714150288439,5.54783713142763
2018,3,ANCHOVETA,179669.31219198086,13957.846000000005,0,1462666.7043805635,744.6392979211387,14.647411839945354,7.2376589481539595
2018,3,JUREL,321318.60124286445,41463.056,0,1462666.7043805635,746.7941017291888,14.631997822531995,7.343879364688255
2018,3,SARDINA COMUN,167079.1637570453,121562.18400000007,0,1462666.7043805635,746.2680919734603,14.635760542601497,7.317949869322668
2018,4,ANCHOVETA,201807.71354630968,10454.302999999996,0,1368687.2063165756,749.3255533613982,13.459250576132682,5.984850053291726
2018,4,JUREL,320357.52865689376,42699.91799999999,0,1368687.2063165756,751.0088409318937,13.406390587698956,5.978356319261833
2018,4,SARDINA COMUN,174730.60002051896,71307.17800000001,0,1368687.2063165756,749.7915510790359,13.444616930404985,5.983052341902468
2018,5,ANCHOVETA,203143.5290738439,6173.609,0,1349443.7884124222,788.0574145648285,12.808907732917527,5.581308834100291
2018,5,JUREL,319399.33066489914,65000.02299999998,0,1349443.7884124222,788.0574145648285,12.808907732917527,5.581308834100291
2018,5,SARDINA COMUN,153279.2151837426,25932.76699999997,0,1349443.7884124222,788.0574145648284,12.808907732917529,5.581308834100291
2018,6,ANCHOVETA,215738.48113785256,5222.4,0,1412046.5096164416,826.994113908712,11.446306362232336,7.40061463740991
2018,6,JUREL,319080.2504144847,48543.682000000015,0,1412046.5096164416,826.994113908712,11.446306362232336,7.40061463740991
2018,6,SARDINA COMUN,183327.4860150635,19177.497000000003,0,1412046.5096164416,826.994113908712,11.446306362232336,7.400614637409909
