"","ANIO","REG","MES","NM_RECURSO","Precio_ponderado","Q_total_consolidado","N_Plantas_Compradoras"
"188",2013,3,1,"ANCHOVETA",90909,3218.455,1
"189",2013,3,2,"ANCHOVETA",96635,473.951,1
"190",2013,3,3,"ANCHOVETA",96785,5887.424,1
"191",2013,3,4,"ANCHOVETA",95860,5568.079,1
"192",2013,3,5,"ANCHOVETA",94148,451.26,1
"193",2013,3,6,"ANCHOVETA",101326,4360.49,1
"194",2013,3,7,"ANCHOVETA",91441,1394.296,1
"195",2013,3,8,"ANCHOVETA",93342,706.661,1
"196",2013,3,9,"ANCHOVETA",102478,2.278,1
"197",2013,3,10,"ANCHOVETA",95206,14.692,1
"198",2014,3,1,"ANCHOVETA",84433,386.836,1
"199",2014,3,2,"ANCHOVETA",84457,964.954,1
"200",2014,3,3,"ANCHOVETA",86211,1000.16,1
"201",2014,3,4,"ANCHOVETA",86741,292.5,1
"202",2014,3,5,"ANCHOVETA",86287,293.16,1
"203",2014,3,7,"ANCHOVETA",90786,81.574,1
"204",2014,3,8,"ANCHOVETA",95508,358.442,1
"205",2014,3,10,"ANCHOVETA",113060,34.93,1
"206",2014,3,11,"ANCHOVETA",115761,6.21,1
"207",2015,3,1,"ANCHOVETA",116825,25.196,1
"208",2015,3,3,"ANCHOVETA",131507,44.12,1
"209",2015,3,4,"ANCHOVETA",124479,833.586,1
"210",2015,3,5,"ANCHOVETA",120150,3736.82,1
"211",2015,3,6,"ANCHOVETA",122255,2012.25,1
"212",2015,3,7,"ANCHOVETA",116921,881.467,1
"213",2015,3,8,"ANCHOVETA",122002,1475.152,1
"214",2015,3,9,"ANCHOVETA",125257,1175.565,1
"215",2015,3,12,"ANCHOVETA",126597,4.43,1
"216",2016,3,1,"ANCHOVETA",143944,456,1
"217",2016,3,3,"ANCHOVETA",126223,4625,1
"218",2016,3,4,"ANCHOVETA",126986,3132,1
"219",2016,3,5,"ANCHOVETA",126986,2106,1
"220",2016,3,6,"ANCHOVETA",127641,4873,1
"221",2016,3,7,"ANCHOVETA",132059,2625,1
"222",2016,3,9,"ANCHOVETA",295850,1582,1
"223",2016,3,11,"ANCHOVETA",113257,25,1
"224",2017,3,2,"ANCHOVETA",110186,48,1
"225",2017,3,3,"ANCHOVETA",106279,2029,1
"226",2017,3,4,"ANCHOVETA",108974,970,1
"227",2017,3,6,"ANCHOVETA",103255,294,1
"228",2018,3,3,"ANCHOVETA",129829,223.519,1
"229",2018,3,4,"ANCHOVETA",115514,7276.578,1
"230",2018,3,5,"ANCHOVETA",109026,3315.844,1
"231",2018,3,6,"ANCHOVETA",107268,7388.096,1
"232",2018,3,7,"ANCHOVETA",114030,5865.064,1
"233",2018,3,8,"ANCHOVETA",112427,2057.829,1
"234",2018,3,9,"ANCHOVETA",118867,699.565,1
"235",2018,3,12,"ANCHOVETA",116347,162.394,1
"236",2019,3,1,"ANCHOVETA",116702,13129.71,1
"237",2019,3,2,"ANCHOVETA",110749,7106.84,1
"238",2019,3,5,"ANCHOVETA",120164,9273.37,1
"239",2019,3,6,"ANCHOVETA",126919,3332.22,1
"240",2019,3,7,"ANCHOVETA",119655,2421.07,1
"241",2019,3,8,"ANCHOVETA",120425,1293.07,1
"242",2019,3,12,"ANCHOVETA",119050,39.45,1
"243",2020,3,1,"ANCHOVETA",120405,1155.645,1
"244",2020,3,2,"ANCHOVETA",140441,1819.926,1
"245",2020,3,3,"ANCHOVETA",152641,8073.123,1
"246",2020,3,4,"ANCHOVETA",152207,7811.985,1
"247",2020,3,5,"ANCHOVETA",152767,8688.915,1
"248",2020,3,6,"ANCHOVETA",148406,3550.315,1
"249",2020,3,7,"ANCHOVETA",147496,1813.125,1
"250",2020,3,8,"ANCHOVETA",119505,490.495,1
"251",2020,3,10,"ANCHOVETA",127365,35.82,1
"252",2021,3,1,"ANCHOVETA",120171,138.975,1
"253",2021,3,2,"ANCHOVETA",131098,2024.303,1
"254",2021,3,3,"ANCHOVETA",131235,437.497,1
"255",2021,3,4,"ANCHOVETA",130623,8593.295,1
"256",2021,3,5,"ANCHOVETA",125453,6091.998,1
"257",2021,3,6,"ANCHOVETA",136158,577.125,1
"258",2021,3,7,"ANCHOVETA",134667,1162.85,1
"259",2021,3,8,"ANCHOVETA",135692,683.625,1
"260",2021,3,11,"ANCHOVETA",145971,1170.955,1
"261",2021,3,12,"ANCHOVETA",157389,163.836,1
"262",2022,3,3,"ANCHOVETA",153239,4592.656,1
"263",2022,3,4,"ANCHOVETA",156031,13788.176,1
"264",2022,3,5,"ANCHOVETA",171487,11811.016,1
"265",2022,3,6,"ANCHOVETA",161782,4193.205,1
"266",2022,3,7,"ANCHOVETA",178871,246.02,1
"267",2022,3,8,"ANCHOVETA",181840,422.19,1
"268",2022,3,11,"ANCHOVETA",178983,2778.568,1
"269",2022,3,12,"ANCHOVETA",173849,1989.004,1
"270",2023,3,2,"ANCHOVETA",165534,76.835,1
"271",2023,3,3,"ANCHOVETA",172792,652.805,1
"272",2012,3,11,"JUREL",180000,15,1
"273",2013,3,1,"JUREL",117438,270.946,1
"274",2013,3,2,"JUREL",117180,263.018,1
"275",2013,3,4,"JUREL",117180,1253.079,1
"276",2013,3,5,"JUREL",117180,2.155,1
"277",2013,3,6,"JUREL",119748,373.105,1
"278",2015,3,7,"JUREL",138180,983.258,1
"279",2015,3,8,"JUREL",144185,592.417,1
"280",2015,3,9,"JUREL",148031,386.042,1
"281",2015,3,12,"JUREL",149615,0.69,1
"282",2016,3,3,"JUREL",149173,480,1
"283",2016,3,4,"JUREL",150075,1540,1
"284",2016,3,5,"JUREL",150075,1458,1
"285",2016,3,6,"JUREL",150849,1587,1
"286",2016,3,7,"JUREL",156070,667,1
"287",2016,3,8,"JUREL",156070,384,1
"288",2016,3,9,"JUREL",153146,622,1
"289",2016,3,10,"JUREL",149032,578,1
"290",2016,3,11,"JUREL",133849,12,1
"291",2017,3,2,"JUREL",130220,105,1
"292",2017,3,3,"JUREL",125602,731,1
"293",2017,3,4,"JUREL",128788,5039,1
"294",2017,3,6,"JUREL",122029,2106,1
"295",2018,3,3,"JUREL",153434,9.706,1
"296",2018,3,4,"JUREL",136516,100.894,1
"297",2018,3,5,"JUREL",128848,1038.753,1
"298",2018,3,6,"JUREL",126772,2622.674,1
"299",2018,3,8,"JUREL",132868,36.024,1
"300",2018,3,11,"JUREL",144930,316.757,1
"301",2018,3,12,"JUREL",137501,2094.582,1
"302",2019,3,2,"JUREL",130885,0.5,1
"303",2019,3,3,"JUREL",127579,2098.44,1
"304",2019,3,4,"JUREL",134583,1086.09,1
"305",2019,3,5,"JUREL",142013,0.2,1
"306",2019,3,6,"JUREL",149996,9.14,1
"307",2019,3,7,"JUREL",141411,12.45,1
"308",2019,3,12,"JUREL",140696,1938.09,1
"309",2020,3,1,"JUREL",142297,381.21,1
"310",2020,3,2,"JUREL",165976,1257.975,1
"311",2020,3,3,"JUREL",180393,3384.831,1
"312",2020,3,4,"JUREL",179881,8.365,1
"313",2021,3,2,"JUREL",154934,15.105,1
"314",2021,3,3,"JUREL",155096,6763.188,1
"315",2021,3,4,"JUREL",154373,220.245,1
"316",2021,3,5,"JUREL",148263,1.079,1
"317",2021,3,7,"JUREL",159151,28.693,1
"318",2021,3,9,"JUREL",166797,1724.564,1
"319",2021,3,10,"JUREL",172370,5418.647,1
"320",2021,3,11,"JUREL",172512,6280.282,1
"321",2021,3,12,"JUREL",186005,7769.694,1
"322",2022,3,1,"JUREL",187905,522.061,1
"323",2022,3,2,"JUREL",181845,4727.585,1
"324",2022,3,3,"JUREL",181101,2.062,1
"325",2022,3,4,"JUREL",184400,7.319,1
"326",2022,3,5,"JUREL",202667,7.894,1
"327",2022,3,7,"JUREL",211287,1049.959,1
"328",2022,3,8,"JUREL",214901,1753.478,1
"329",2022,3,11,"JUREL",211525,2841.17,1
"330",2022,3,12,"JUREL",205458,12951.307,1
"331",2023,3,2,"JUREL",195631,2233.012,1
"332",2023,3,3,"JUREL",204209,4238.028,1
"333",2023,3,4,"JUREL",195475,159.132,1
"334",2023,3,5,"JUREL",208679,1512.302,1
"335",2023,3,6,"JUREL",219476,444.33,1
"336",2023,3,7,"JUREL",219132,1547.183,1
"337",2023,3,10,"JUREL",265251,5104.976,1
"338",2023,3,11,"JUREL",272174,6049.073,1
"339",2023,3,12,"JUREL",249618,5482.748,1
"340",2024,3,10,"JUREL",265251,118.645,1
"341",2024,3,11,"JUREL",272174,6816.85,1
"342",2024,3,12,"JUREL",249618,9487.829,1
"343",2018,3,4,"SARDINA ESPAÑOLA",115514,47.653,1
"344",2018,3,5,"SARDINA ESPAÑOLA",109026,104.757,1
"345",2018,3,6,"SARDINA ESPAÑOLA",107268,65.92,1
"346",2018,3,7,"SARDINA ESPAÑOLA",114039,21.031,1
"347",2018,3,8,"SARDINA ESPAÑOLA",112427,18.495,1
"348",2018,3,9,"SARDINA ESPAÑOLA",118867,21.47,1
"349",2019,3,3,"SARDINA ESPAÑOLA",107952,57.52,1
"350",2019,3,4,"SARDINA ESPAÑOLA",113878,41.58,1
"351",2019,3,5,"SARDINA ESPAÑOLA",120164,67.77,1
"352",2019,3,6,"SARDINA ESPAÑOLA",126919,33.85,1
"353",2019,3,7,"SARDINA ESPAÑOLA",119655,136.38,1
"354",2019,3,8,"SARDINA ESPAÑOLA",120425,210.92,1
"355",2020,3,1,"SARDINA ESPAÑOLA",120405,55.28,1
"356",2020,3,3,"SARDINA ESPAÑOLA",152641,19.051,1
"357",2020,3,7,"SARDINA ESPAÑOLA",147496,226.195,1
