ANIO,MES,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,WIND_MAX_MACRO,SST_SD,CHL_A_SD,N_REGIONES,N_DIAS,SST2,CHL_A2,WIND2,SST_X_CHL,SST_X_WIND,PRECIO_DIESEL_MACRO,N_REGIONES_DIESEL
2014,1,14.481791069335962,5.153001071189811,7.010046270169936,9.023636872731965,1.6119829261403884,5.014905525355662,6,279,209.72227257589884,26.553420039683342,49.140748709923436,74.62468489303525,101.51802547097886,670.69044423608,8
2014,2,14.235379237884658,6.328009423388913,7.629887064429443,9.578193417753214,1.3867464231877131,6.536738120119028,6,252,202.64602204639758,40.04370326249888,58.21517661594775,90.08161396284899,108.61433590438362,677.0629777998582,8
2014,3,13.014946907293165,4.707411579797402,7.015643513457343,8.868033055313548,1.258742225019464,4.407064446056352,6,279,169.38884299965991,22.15972378161067,49.21925390791609,61.26671178184023,91.308227848143,700.8449372107777,8
2014,4,12.625779115820356,3.7881777019174327,6.4962222619837124,8.472964714608718,0.6239668631351902,4.2553194163217665,6,270,159.41029828148544,14.350290301304442,42.20090367709278,47.82869491588547,82.01986736708123,685.9772432757616,8
2014,5,12.122988835593274,2.689830770843327,6.032319084358072,8.058891086373695,0.5785146384123458,4.530469875800643,6,279,146.96685830791915,7.235189575775608,36.388873535510605,32.608788404568905,73.12973691240914,705.7252368739976,8
2014,6,11.965422199741605,1.7574975288763528,7.026675507777459,9.303598844475086,0.9820420814849624,1.3624180022153707,6,270,143.17132841806924,3.0887975640064864,49.374168691599614,21.029199948008124,84.07713911114102,686.6421134690262,8
2014,7,11.27060336551801,1.7583842104563396,7.428349908272173,9.631907016286824,0.7663415314913227,1.3083318198717557,6,279,127.02650022282589,3.091915031582165,55.1803823597272,19.81805100024295,83.72198547641776,700.9302864221506,8
2014,8,11.454952614942377,2.369267735534913,6.365374331723654,8.18684836332494,0.7072048454434358,2.125727510270932,6,279,131.2159394105752,5.613429602646735,40.51799038296635,27.139849642664256,72.91506134626495,690.1300983678677,8
2014,9,12.10526156826811,2.953148823823187,6.41847353556779,8.338345181870833,0.7800470131887894,3.07743041676039,6,270,146.53735763618891,8.721087975648274,41.19680252678408,35.748638962403,77.69730101705471,698.4399012445888,8
2014,10,12.917122490324822,4.203348464907202,7.199381896537977,8.945070498102208,0.8053095155602993,3.475673337213007,6,279,166.85205343005532,17.66813831743773,51.831099692198755,54.29516699072513,92.99529781220807,692.9141297938173,8
2014,11,13.203342757304737,5.697556160522021,7.142978482544325,8.86628717055992,0.5357588737468778,4.192023962202484,6,270,174.32825996687146,32.462146202302435,51.022141602091224,75.22678686636542,94.31119321308519,672.7206857318927,8
2014,12,13.92032422827563,7.453312759425358,7.594088229640933,9.443250180765942,1.0569870049841772,5.972255549400753,6,279,193.77542662031752,55.55187108981284,57.67017603957096,103.7525301859447,105.71217037473347,650.1853876337982,8
2015,1,14.139181293931387,5.7901492103038645,6.81642737955798,8.668984775388441,1.4732734026956467,4.454620742776187,6,279,199.91644766265924,33.525827877582465,46.46368222078767,81.8679694034,96.37870249648793,567.9511480019023,8
2015,2,13.77946928085172,5.879321052059415,6.223332729002165,8.176600195328136,1.5377981895193027,4.956946017748675,6,252,189.8737736619362,34.56641603318902,38.72987025586954,81.01392382911752,85.75422216380444,506.2452590184002,8
2015,3,14.516772674081151,4.881776571402071,5.793030224154519,7.7812843592833785,0.8809463948957579,4.005506777171112,6,279,210.73668887094922,23.831742493090157,33.559199177967756,70.86764073269916,84.09610285813253,520.6296565862299,8
2015,4,14.220827027331524,4.231480707581139,6.275364903220672,8.424877934779289,0.8696598378435224,4.124101508962626,6,270,202.23192134128274,17.905428978631377,39.380204668573796,60.17515521200178,89.2408788220882,534.5689399411651,8
