ANIO,MES,NM_RECURSO,Q_MACRO,Q_INDUSTRIAL,Q_ARTESANAL,N_REGIONES_ACTIVAS,SHARE_INDUSTRIAL,PRECIO_W,Q_MUESTRA_PRECIO,N_TRANSACCIONES,PRECIO_SD,FECHA
2015,9,JUREL,194.066,0,194.066,2,0,156106.1042591869,882.9150000000001,3,8284.39901260194,2015-09-01
2015,10,JUREL,173.916,0,173.916,2,0,151754,12.314,1,NA,2015-10-01
2015,11,JUREL,112.1,110,2.1,2,0.9812667261373774,NA,NA,NA,NA,2015-11-01
2015,12,JUREL,9773.548,7708.065,2065.4830000000006,2,0.7886659992870552,174187.2557206054,2032.652,7,12264.878864930894,2015-12-01
2016,1,JUREL,63323.89299999995,51752.94099999995,11570.952,3,0.8172735210704747,391266.5115725917,10931,5,116863.18031441726,2016-01-01
2016,2,JUREL,16778.29599999999,16552.93399999999,225.362,1,0.9865682426868616,405280.86529006885,5085,9,105100.00000000001,2016-02-01
2016,3,JUREL,23188.494999999995,23012.976999999995,175.518,3,0.9924308153677072,179687.2249589491,1218,6,36588.97075713755,2016-03-01
2016,4,JUREL,45311.535,45105.48100000001,206.054,1,0.995452504533338,185711.85653224308,5381,5,27345.048683445417,2016-04-01
2016,5,JUREL,42376.958999999995,42277.507999999994,99.451,2,0.9976531822399054,183404.3503213958,4356,6,213681.2302629004,2016-05-01
2016,6,JUREL,35130.141,35098.813,31.328,1,0.9991082301662267,184979.27267475447,5193,6,25381.467259925434,2016-06-01
2016,7,JUREL,8906.078,8858.948999999999,47.129,1,0.9947082206106884,170575.39959432048,2465,8,21083.476265278725,2016-07-01
2016,8,JUREL,8462.757000000001,8311.381000000001,151.376,1,0.9821126850268772,158368.48192771085,415,3,17765.067782964783,2016-08-01
2016,9,JUREL,105.382,79.765,25.617,1,0.7569129452847735,157967.73228346457,762,4,15151.98046461254,2016-09-01
2016,10,JUREL,3670.678,3519.4499999999994,151.228,2,0.9588010716276392,149460.50169491526,590,3,12163.615471287036,2016-10-01
2016,11,JUREL,3042.278,3041.328,0.95,2,0.9996877339940663,154150.24242424243,198,3,12477.116667457003,2016-11-01
2016,12,JUREL,25621.550000000003,25606.500000000004,15.05,2,0.9994126038432491,200000,126,3,0,2016-12-01
2017,1,JUREL,16897.188,9054.778,7842.409999999998,2,0.5358748449742052,231200.868798688,4878,8,8825.665712446691,2017-01-01
2017,2,JUREL,4012.23,3974.776,37.45399999999999,3,0.9906650416352003,130220,105,2,0,2017-02-01
2017,3,JUREL,38980.798,37945.299,1035.4990000000003,4,0.9734356644007133,210408.72682236377,2826,7,55820.50827258315,2017-03-01
2017,4,JUREL,53285.75500000005,53221.42000000004,64.33500000000001,2,0.9987926416731825,169367.6244013108,7934,7,54265.89945637614,2017-04-01
2017,5,JUREL,70295.02900000004,70042.06700000004,252.96200000000002,2,0.9964014240608678,237437.14517437146,3699,7,58554.004376911995,2017-05-01
2017,6,JUREL,28097.368999999977,27953.60999999998,143.759,1,0.994883542298925,192340.8927680798,5213,7,57563.953752905705,2017-06-01
2017,7,JUREL,39117.077000000005,38917.289,199.78800000000004,2,0.9948925631636534,205032.2267991277,4127,13,42535.053417514,2017-07-01
2017,8,JUREL,19115.254000000008,19009.95400000001,105.29999999999998,1,0.9944913104476666,191147.0712178677,2373,13,43547.79278459767,2017-08-01
2017,9,JUREL,4576.857000000001,4461.796,115.06099999999999,3,0.974860258906931,151958.7912087912,364,9,116333.33333333334,2017-09-01
2017,10,JUREL,3,0,3,1,0,149000,22,6,0,2017-10-01
2017,11,JUREL,8.713999999999999,0,8.713999999999999,1,0,172000,136,3,0,2017-11-01
2017,12,JUREL,13798.444000000001,13721.647,76.797,3,0.994434372455329,NA,NA,NA,NA,2017-12-01
2018,1,JUREL,47397.35699999999,39894.35499999999,7503.002,3,0.8416999918370975,219728.0335872157,26998.058355000005,20,27680.279089709526,2018-01-01
2018,2,JUREL,50863.59,49425.35999999999,1438.2299999999998,3,0.9717237811959399,220839.8544504459,18773.711052000002,18,31154.31175925429,2018-02-01
2018,3,JUREL,41909.306,41463.056,446.25,4,0.9893520069265762,223368.02219125617,3563.7955500000003,14,33104.77496052214,2018-03-01
