year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2018,may,JUREL,149.152,5.5,5569.192000000001,64850.87099999998,65005.52299999998,5569.192000000001
2018,jun,JUREL,1323.264,NA,74.52799999999999,47225.61800000002,48548.88200000002,74.52799999999999
2018,jul,JUREL,1630.3729999999998,NA,0,42496.71700000001,44127.09000000001,0
2018,ago,JUREL,225.307,0.003,0,14603.475999999999,14828.786,0
2018,oct,JUREL,30.595,0.35,NA,NA,30.945,NA
2018,nov,JUREL,12.635,NA,NA,NA,12.635,NA
2018,dic,JUREL,1045.5150000000003,0.75,25.896,47912.552000000025,48958.817000000025,25.896
2019,ene,JUREL,9640.312,21.500000000000004,0,42049.51499999996,51711.32699999996,0
2019,feb,JUREL,2552.415000000001,0.8500000000000001,0,67072.54899999997,69625.81399999998,0
2019,mar,JUREL,527.742,9.13,109.50500000000001,74508.63999999997,75045.51199999997,109.50500000000001
2019,abr,JUREL,270.855,8.45,26.835,57543.908,57823.213,26.835
2019,may,JUREL,2.883,0.7,42.660000000000004,47756.269000000015,47759.85200000001,42.660000000000004
2019,jun,JUREL,639.444,0.25,1466.895,57239.92199999997,57879.61599999997,1466.895
2019,jul,JUREL,12.19,0.15,169.059,38349.418000000005,38361.75800000001,169.059
2019,sept,JUREL,60.07300000000001,NA,NA,NA,60.07300000000001,NA
2019,oct,JUREL,22.408,NA,4157.175,0,22.408,4157.175
2019,nov,JUREL,573.564,1.7000000000000002,6017.206000000002,0,575.264,6017.206000000002
2019,dic,JUREL,502.316,28.73,2501.623,16447.355000000007,16978.401000000005,2501.623
2020,ene,JUREL,10525.548,42.775000000000006,3220.5859999999993,69904.875,80473.19799999999,3220.5859999999993
2020,feb,JUREL,2737.951,3.8000000000000003,0,99736.36499999993,102478.11599999994,0
2020,mar,JUREL,2124.0229999999997,2.4,5154.456,74999.18800000002,77125.61100000002,5154.456
2020,abr,JUREL,8.303,3.1999999999999997,16400.620000000003,60896.64699999997,60908.149999999965,16400.620000000003
2020,may,JUREL,0.31,7.3,15224.521000000006,66967.25999999998,66974.86999999998,15224.521000000006
2020,ago,JUREL,201.438,11.530000000000001,0,6714.819,6927.787,0
2020,sept,JUREL,5.925,1.45,0,893.375,900.75,0
2020,nov,JUREL,211.59500000000003,0.8,1216.67,1199.078,1411.473,1216.67
2020,dic,JUREL,213.66,2.63,5.004,23047.85200000001,23264.14200000001,5.004
2021,ene,JUREL,13572.736999999996,37.93000000000001,7232.248999999999,76789.71599999999,90400.38299999997,7232.248999999999
