ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,SHARE_INDUSTRIAL,SHARE_ARTESANAL,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,DEFLACTOR,PRECIO_REAL_MACRO,P_HARINA_REAL
2013,3,SARDINA COMUN,99758.36521136692,23975.130000000005,2,6,0.1732855764986839,2013-03-01,67779.91399999999,470.75,67309.16399999999,6,0.00694527290193965,0.9930547270980604,1031196.33,472.484,2182.5,0.6084253854602866,163961.54334667945,1694860.7908920143
2013,4,ANCHOVETA,82013.11880925074,2992.3679999999995,2,2,0.0447560380360815,2013-04-01,7411.364999999996,0,7411.364999999996,4,0,1,1022177.195454546,472.137272727273,2165,0.6053832585329851,135473.05389315146,1688479.4566859521
2013,4,SARDINA COMUN,87070.0533795839,5303.863,2,3,0.09893819211857616,2013-04-01,22539.18099999999,17.96,22521.22099999999,6,7.968346321013176e-4,0.9992031653678988,1022177.195454546,472.137272727273,2165,0.6053832585329851,143826.3317531761,1688479.4566859521
2013,5,ANCHOVETA,87251.4333377628,1151.379,2,2,0.08499690452614879,2013-05-01,3483.217000000001,904.453,2578.7640000000006,5,0.25966025085431077,0.7403397491456892,949574.0571428568,479.58285714285694,1980,0.6053832585329851,144125.94353731835,1568550.242773385
2013,5,SARDINA COMUN,96021.45020975568,4405.602,2,3,0.1468203503244301,2013-05-01,19175.103000000003,5677.764999999999,13497.338,5,0.2961008866549504,0.7038991133450494,949574.0571428568,479.58285714285694,1980,0.6053832585329851,158612.66207202824,1568550.242773385
2013,6,ANCHOVETA,90000,610.9680000000001,1,1,NA,2013-06-01,2842.523000000001,322.87,2519.6530000000007,3,0.11358571241112204,0.8864142875888779,898908.7250000001,502.886,1787.5,0.6090155580841831,147779.47591867507,1476002.8919913827
2013,6,SARDINA COMUN,98561.07983755252,1520.738,2,3,0.05606909722794558,2013-06-01,10071.040999999996,3301.308,6769.732999999998,4,0.3278020613757804,0.6721979386242197,898908.7250000001,502.886,1787.5,0.6090155580841831,161836.71915969116,1476002.8919913827
2014,2,ANCHOVETA,88495,615.568,1,1,NA,2014-02-01,702.9739999999999,3.486,699.4879999999999,3,0.00495893162478271,0.9950410683752172,848245.005,554.4085,1530,0.6262715136402804,141304.52698640546,1354436.5127985324
2014,2,SARDINA COMUN,88498.77288236952,12444.132999999996,2,2,0.01325837582612685,2014-02-01,16066.774000000009,83.224,15983.550000000008,4,0.00517988240825444,0.9948201175917456,848245.005,554.4085,1530,0.6262715136402804,141310.55134211594,1354436.5127985324
2014,3,ANCHOVETA,90029.25676472133,2663.82,3,5,0.04989174159268227,2014-03-01,10666.090999999997,497.58,10168.510999999997,5,0.04665064267687198,0.953349357323128,902149.3333333328,563.843333333333,1600,0.6312816857494027,142613.4462586958,1429075.725937431
