ANIO,MES,P_HARINA_REAL,PRECIO_DIESEL_REAL,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,ln_P_HARINA,ln_DIESEL,ln_SST,ln_WIND,SST2,WIND2,SST_X_WIND,DIESEL_LAG1,D_DIESEL,P_A,P_J,P_S,Q_A,Q_J,Q_S,ln_P_A,ln_P_S,ln_P_J,ln_Q_A,ln_Q_S,ln_Q_J,D_SHOCK_JUREL
2014,3,1429075.725937431,1110.193679036951,13.014946907293163,4.707411579797402,7.015643513457343,14.172538447766488,7.012289764704409,2.5660984590907754,1.9481424432683432,169.3888429996599,49.21925390791609,91.30822784814299,1081.101348302346,29.092330734604957,142613.4462586958,132219.85223254294,139556.2909148229,10666.090999999997,0,196372.08499999964,11.867893076056218,11.846223317954292,11.79222136329916,9.2749186735725,12.187771623759895,0,0
2014,4,1417018.3281376678,1080.1611120715927,12.625779115820356,3.7881777019174327,6.4962222619837124,14.164065453054706,6.984865486836425,2.535740685401494,1.8712208174809022,159.41029828148544,42.20090367709278,82.01986736708123,1110.193679036951,-30.032566965358228,147930.05669489954,133623.68809403494,141351.0930462873,27781.904000000035,0,119650.44299999996,11.904494851141123,11.859002095998008,11.80278283046089,10.232176146482017,11.692338153439307,0,0
2014,5,1460495.2432645692,1107.9331179145215,12.122988835593274,2.689830770843327,6.032319084358072,14.194286143882048,7.010251502592285,2.4951035538363042,1.7971315279070494,146.96685830791915,36.388873535510605,73.12973691240914,1080.1611120715927,27.77200584292882,135792.63628298198,135027.52395552694,149014.37163126032,9203.481000000002,0,48241.11200000004,11.81888426791621,11.911798034177293,11.813233917791681,9.127445709676762,10.783987611537231,0,0
2014,6,1635046.2429860672,1076.897217803086,11.965422199741605,1.7574975288763528,7.026675507777459,14.307181645085436,6.981839238807574,2.4820210069677633,1.9497136932268588,143.17132841806924,49.374168691599614,84.07713911114102,1107.9331179145215,-31.035900111435467,145292.61738294718,136431.35981701897,152560.6656716384,1436.4690000000007,0,42433.87700000003,11.88650503879022,11.935317603607979,11.823576908648045,7.270639207221582,10.655725873848853,0,0
2014,7,1665310.3883706836,1097.111892916524,11.27060336551801,1.7583842104563396,7.428349908272173,14.325522083464588,7.000436454086013,2.4221978639316584,2.0053037490412033,127.02650022282589,55.1803823597272,83.72198547641776,1076.897217803086,20.214675113438034,150134.71059389392,137835.19567851097,155179.3526413303,0,0,41888.491999999984,11.919288240680206,11.952336840776205,11.833814016259728,0,10.642790286868264,0,0
2014,8,1707868.9161217,1076.9762661906143,11.454952614942377,2.369267735534913,6.365374331723654,14.350756903384104,6.9819126399503535,2.43842217927031,1.8508730412343004,131.2159394105752,40.51799038296635,72.91506134626495,1097.111892916524,-20.135626725909788,154976.80380484066,139239.031540003,185798.00324011585,0,0,37.76800000000001,11.95103073183028,12.132415358480209,11.84394738657228,0,3.65759516407417,0,0
2014,9,1803488.8500244138,1069.54701902956,12.1860375526336,3.2863081002210572,6.7823781141308155,14.40523359689709,6.974990491118092,2.500290833442562,1.914327794748977,148.4995112341963,46.00065288304068,82.65031439495837,1076.9762661906143,-7.429247161054263,159818.8970157874,140642.867401495,183970.4094387623,0,0,0,11.981796559489219,12.122530205390882,11.853979100947052,0,0,0,0
2014,10,1899108.7839271273,1062.1177718685055,12.917122490324822,4.203348464907202,7.199381896537977,14.456895273002116,6.968020091951372,2.5585537560821185,1.973995174633826,166.85205343005532,51.831099692198755,92.99529781220807,1069.54701902956,-7.429247161054491,164660.99022673414,142046.70326298702,182142.81563740876,0,0,32348.782000000025,12.011644034600483,12.112546359646274,11.863911178727111,0,10.384362561111907,0,0
2014,11,2170450.2065161746,1031.164707280568,13.203342757304735,5.697556160522021,7.142978482544325,14.590445172438676,6.938444226136817,2.5804700367224465,1.9661298437847514,174.32825996687143,51.022141602091224,94.31119321308518,1062.1177718685055,-30.953064587937433,169503.08343768088,143450.53912447902,183027.3777313025,2850.7519999999995,0,44138.743999999984,12.04062639700993,12.117391025722917,11.873745579676962,7.95568882123151,10.69511588006577,0,0
2014,12,2267626.206952448,1000.6244825628298,13.92032422827563,7.453312759425358,7.594088229640933,14.634244118497469,6.908379566636872,2.6333499468961934,2.027370080077769,193.77542662031752,57.67017603957096,105.71217037473347,1031.164707280568,-30.540224717738283,167083.8933101176,144854.37498597102,194082.16317658752,0,0,5792.637999999999,12.026251320411191,12.176036869914338,11.883484206303484,0,8.66451569795148,0,0
2015,1,2186756.6430469723,931.2483053493561,14.119140376877471,6.596134030084262,6.993735561145462,14.597930019140513,6.836525949933033,2.6475313503873026,1.945014828539125,199.3501249819717,48.912337099230626,98.74553414657271,1000.6244825628298,-69.37617721347374,164664.70318255434,146258.21084746305,194382.03717624332,0,0,0,12.011666583438274,12.177580765382434,11.893128906064925,0,0,0,1
2015,2,2105887.079141497,861.8721281358825,14.31795652547931,5.738955300743166,6.39338289264999,14.560247351597262,6.759106916429913,2.661514450615096,1.855263532475072,205.00387906551558,40.87534481202956,91.54017830770572,931.2483053493561,-69.37617721347362,162245.51305499105,147662.04670895505,194681.91117589912,0,0,0,11.99686597966925,12.17912228091122,11.902681473474395,0,0,0,1
2015,3,2025017.5152360215,792.4959509224087,14.516772674081151,4.881776571402071,5.793030224154519,14.52108890798464,6.675187396492212,2.6753047170662754,1.7566555094588119,210.73668887094922,33.559199177967756,84.09610285813253,861.8721281358825,-69.37617721347374,159826.32292742777,149065.88257044708,194981.78517555492,0,0,79484.26,11.981843022950445,12.18066142382683,11.91214365210383,0,11.283326874647054,0,1
2015,4,1826814.194607886,808.8609877582228,14.220827027331524,4.231480707581139,6.275364903220672,14.418084130466365,6.6956270701035665,2.6547075821305612,1.8366316352347678,202.23192134128274,39.380204668573796,89.2408788220882,792.4959509224087,16.365036835814067,157407.13279986448,150469.71843193908,172766.3402583823,0,0,102946.97500000006,11.966590930329183,12.059695326206624,11.921517136494039,0,11.541979042519891,0,1
2015,5,1679070.936237037,806.5761060973331,13.371310836691052,2.0162583237867415,6.690775028718456,14.3337511842661,6.692798259011822,2.5931114294411506,1.9007297162670183,178.79195349141156,44.766470484922465,89.46443264736497,808.8609877582228,-2.2848816608897096,154987.9426723012,151873.5542934311,175202.70102941216,0,0,71163.354,11.951102603664687,12.073698874200135,11.930803573976046,0,11.172747325967565,0,1
2015,6,1625834.602384094,817.9512933481105,12.491643677850487,1.913660084143563,7.166656045280046,14.30153184336502,6.706802791245741,2.525059914986676,1.969439164410462,156.04116177438203,51.36095887134903,89.52331367935146,806.5761060973331,11.375187250777458,152568.75254473794,153277.3901549231,174795.4290777754,0,0,0,11.935370609792363,12.071371592421025,11.940004566408657,0,0,0,1
