ANIO,MES,RG,NM_RECURSO,FECHA,Q_TOTAL,Q_INDUSTRIAL,Q_ARTESANAL,N_FLOTAS_ACTIVAS,N_OUTLIERS,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2012,9,8,JUREL,2012-09-01,1569.272,334.22,1235.052,2,1,0.21297773744768278,0.7870222625523172
2012,9,8,SARDINA COMUN,2012-09-01,197.57700000000003,0,197.57700000000003,1,0,0,1
2012,9,9,SARDINA COMUN,2012-09-01,0.5,0,0.5,1,0,0,1
2012,9,14,ANCHOVETA,2012-09-01,0.01,0,0.01,1,0,0,1
2012,9,14,SARDINA COMUN,2012-09-01,892.9060000000002,0,892.9060000000002,1,0,0,1
2012,10,5,ANCHOVETA,2012-10-01,364.13000000000005,0,364.13000000000005,1,0,0,1
2012,10,5,JUREL,2012-10-01,3.821,0,3.821,1,0,0,1
2012,10,5,SARDINA COMUN,2012-10-01,1353.6449999999995,0,1353.6449999999995,1,0,0,1
2012,10,7,JUREL,2012-10-01,0.055999999999999994,0,0.055999999999999994,1,0,0,1
2012,10,8,ANCHOVETA,2012-10-01,6961.278999999993,384.88499999999993,6576.393999999993,2,1,0.05528940874227284,0.9447105912577272
2012,10,8,JUREL,2012-10-01,146.254,74.067,72.187,2,0,0.5064271746413773,0.4935728253586227
2012,10,8,SARDINA COMUN,2012-10-01,37466.82799999997,13189.760999999999,24277.06699999997,2,1,0.3520383684468834,0.6479616315531165
2012,10,9,SARDINA COMUN,2012-10-01,1.211,0,1.211,1,0,0,1
2012,10,14,ANCHOVETA,2012-10-01,67.095,0,67.095,1,0,0,1
2012,10,14,SARDINA COMUN,2012-10-01,11899.413000000002,1323.8449999999998,10575.568000000003,2,1,0.11125296684802852,0.8887470331519716
2012,11,5,ANCHOVETA,2012-11-01,463.08,0,463.08,1,0,0,1
2012,11,5,JUREL,2012-11-01,7.976,0,7.976,1,0,0,1
2012,11,5,SARDINA COMUN,2012-11-01,1399.62,0,1399.62,1,0,0,1
2012,11,8,ANCHOVETA,2012-11-01,6600.458,3779.474999999999,2820.983000000001,2,2,0.5726079917484512,0.42739200825154877
2012,11,8,JUREL,2012-11-01,36.592,0.095,36.497,2,0,0.002596195889811981,0.997403804110188
2012,11,8,SARDINA COMUN,2012-11-01,81691.644,56177.926999999996,25513.717000000004,2,2,0.6876826594406644,0.3123173405593356
2012,11,9,ANCHOVETA,2012-11-01,0.87,0,0.87,1,0,0,1
2012,11,9,SARDINA COMUN,2012-11-01,0.6,0,0.6,1,0,0,1
2012,11,10,SARDINA COMUN,2012-11-01,5,0,5,1,0,0,1
2012,11,14,ANCHOVETA,2012-11-01,243.61,15.068000000000001,228.542,2,0,0.061852961701079595,0.9381470382989203
2012,11,14,SARDINA COMUN,2012-11-01,25341.09100000001,5571.725000000001,19769.36600000001,2,1,0.2198691840063239,0.7801308159936761
2012,12,5,SARDINA COMUN,2012-12-01,54.85,0,54.85,1,0,0,1
2012,12,7,SARDINA COMUN,2012-12-01,0.1,0,0.1,1,0,0,1
2012,12,8,ANCHOVETA,2012-12-01,4562.525,3868.7049999999995,693.8199999999996,2,1,0.8479306962701574,0.1520693037298425
2012,12,8,JUREL,2012-12-01,5548.63,5493.996,54.634,2,0,0.9901536054845971,0.0098463945154029
2012,12,8,SARDINA COMUN,2012-12-01,39438.629000000015,13498.874000000002,25939.755000000012,2,1,0.342275437617266,0.657724562382734
2012,12,10,ANCHOVETA,2012-12-01,117.5,0,117.5,1,0,0,1
2012,12,10,JUREL,2012-12-01,201.65,0,201.65,1,0,0,1
2012,12,10,SARDINA COMUN,2012-12-01,1239.166,0,1239.166,1,0,0,1
2012,12,14,ANCHOVETA,2012-12-01,155.088,30.412,124.67599999999999,2,0,0.19609512018982772,0.8039048798101722
2012,12,14,SARDINA COMUN,2012-12-01,19815.788999999997,3048.067,16767.721999999998,2,1,0.1538201178868023,0.8461798821131977
2013,1,5,JUREL,2013-01-01,1.8199999999999998,0,1.8199999999999998,1,0,0,1
2013,1,5,SARDINA COMUN,2013-01-01,14.530000000000001,0,14.530000000000001,1,0,0,1
2013,1,8,ANCHOVETA,2013-01-01,3.1510000000000002,0,3.1510000000000002,1,0,0,1
2013,1,8,JUREL,2013-01-01,36664.33799999999,34925.952999999994,1738.3849999999998,2,1,0.9525864888110077,0.04741351118899243
2013,1,8,SARDINA COMUN,2013-01-01,5.165,0,5.165,1,0,0,1
2013,1,10,SARDINA COMUN,2013-01-01,361.99,0,361.99,1,0,0,1
2013,2,5,ANCHOVETA,2013-02-01,0.3,0,0.3,1,0,0,1
2013,2,5,JUREL,2013-02-01,6.979,0,6.979,1,0,0,1
2013,2,5,SARDINA COMUN,2013-02-01,0.30000000000000004,0,0.30000000000000004,1,0,0,1
2013,2,7,JUREL,2013-02-01,0.025,0,0.025,1,0,0,1
2013,2,7,SARDINA COMUN,2013-02-01,0.11,0,0.11,1,0,0,1
2013,2,8,ANCHOVETA,2013-02-01,15.942,15.942,0,1,0,1,0
2013,2,8,JUREL,2013-02-01,35920.64900000001,32174.472000000012,3746.1770000000006,2,1,0.8957096515711618,0.10429034842883822
2013,2,8,SARDINA COMUN,2013-02-01,973.8109999999999,973.8109999999999,0,1,0,1,0
2013,2,10,ANCHOVETA,2013-02-01,9.942,0,9.942,1,0,0,1
2013,2,10,JUREL,2013-02-01,27.958,0,27.958,1,0,0,1
2013,2,10,SARDINA COMUN,2013-02-01,1887.786,0,1887.786,1,0,0,1
2013,2,14,ANCHOVETA,2013-02-01,225.83600000000004,54.148,171.68800000000005,2,0,0.2397669105014258,0.7602330894985743
2013,2,14,SARDINA COMUN,2013-02-01,9225.556000000004,98.13,9127.426000000005,2,1,0.010636757285956526,0.9893632427140435
2013,3,5,ANCHOVETA,2013-03-01,2471.5109999999995,0,2471.5109999999995,1,1,0,1
2013,3,5,JUREL,2013-03-01,0.1,0,0.1,1,0,0,1
2013,3,5,SARDINA COMUN,2013-03-01,2537.24,0,2537.24,1,0,0,1
2013,3,7,ANCHOVETA,2013-03-01,0.12,0,0.12,1,0,0,1
2013,3,7,JUREL,2013-03-01,0.036,0,0.036,1,0,0,1
2013,3,7,SARDINA COMUN,2013-03-01,0.1,0,0.1,1,0,0,1
2013,3,8,ANCHOVETA,2013-03-01,18801.632999999998,44.464,18757.168999999998,2,1,0.002364900963655657,0.9976350990363444
