year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date
2017,2,223227.80957699183,100000,219196.849804964,1341.0929999999998,20605.559000000005,4012.23,963206.22625,643.2095,1497.5,2017-02-01
2017,3,98060.00000000007,101305.40000000008,240000.00000000015,13893.260000000002,169656.5179999997,38980.798,992465.1156521736,661.202608695652,1501,2017-03-01
2017,4,116899.33333333336,113139.59999999992,240000.00000000015,6200.24,34265.10799999998,53285.75500000004,973778.8499999996,655.743333333333,1485,2017-04-01
2017,5,104229.99999999996,105857.99999999994,179999.99999999997,8768.418,30949.61300000003,70295.02900000004,937919.1369500008,671.539545454546,1396.67,2017-05-01
2017,6,110053.99999999993,108776.99999999993,240000.00000000015,2075.8160000000003,13014.722,28097.368999999977,934540.4333333328,665.153333333333,1405,2017-06-01
2017,7,108834.22854844834,196265.49999999985,240000.00000000015,1699.8279999999995,12926.533999999998,39117.077000000005,939539.7142857136,658.171428571428,1427.5,2017-07-01
2017,8,106262.33797820251,594627.2499999998,240000.00000000015,93.338,93.36199999999997,19115.254000000008,949612.4399999996,644.241818181818,1474,2017-08-01
2017,9,103770.58524047752,35110.51936562343,227497.71704706055,18.044,24.795,4576.857,913290.7052631588,625.541578947369,1460,2017-09-01
2017,10,95000.00000000006,213770.8333333331,227400.4747717507,3043.841,20624.766999999996,3,935663.485625,629.5465,1486.25,2017-10-01
2017,11,96041,230635.3333333331,227303.2740619578,15477.358000000007,28720.390000000032,8.713999999999999,988677.4857142856,633.767619047619,1560,2017-11-01
2017,12,97031.00000000006,196958.5000000001,227206.11489991445,4618.351000000001,13904.765000000009,13798.444,1138501.085526315,636.923684210526,1787.5,2017-12-01
2018,1,182449.4173141781,347128.85243017314,223732.99999999997,9.254,25.075999999999997,47397.35699999999,1163826.0390909084,605.528636363636,1922,2018-01-01
2018,2,215569.9999999999,167784.99999999994,227307.66666666677,2141.9160000000006,15461.511,50863.59,1195665.47387,596.839,2003.33,2018-02-01
2018,3,117380.66666666676,116677.8571428572,230000.0000000002,15468.492000000004,129505.82700000008,41909.306,1046977.488095238,603.445238095238,1735,2018-03-01
2018,4,127970,123340.99999999996,230000.0000000002,11899.627,76365.92200000002,42882.01299999999,982646.0416666666,600.547619047619,1636.25,2018-04-01
2018,5,146283.99999999997,117008.6,230000.0000000002,7508.449,31355.127999999968,65005.52299999998,971736.761904761,626.119047619047,1552,2018-05-01
2018,6,155508.9999999999,129719.99999999996,230000.0000000002,5597.892,23661.932000000004,48548.88200000002,1017833.9047619055,636.146190476191,1600,2018-06-01
2018,7,89999.99999999997,98620.6666666666,210000.0000000001,16.051000000000002,1343.4790000000005,44127.09000000001,1043851.2,652.407,1600,2018-07-01
2018,8,120071.87921524304,511779.4977723752,210000.0000000001,0.7150000000000001,60.001000000000005,14828.786,1050001.4545454544,656.250909090909,1600,2018-08-01
2018,9,124170.15039085112,13509.318726401149,210000.0000000001,98.484,161.82000000000002,474.97600000000006,1111593.2573529412,680.914705882353,1632.5,2018-09-01
2018,10,133029.00000000006,119849.19999999994,231218.9675540785,1658.6150000000002,12456.343,30.945,1088360.1818181816,676.840909090909,1608,2018-10-01
2018,11,127084.33333333334,119196.42857142864,234707.0990230701,15864.485000000032,47184.33100000007,12.635,1070626.96,677.612,1580,2018-11-01
2018,12,142992.66666666672,130350.71428571425,210000.0000000001,1416.9730000000002,7839.774000000002,48958.817000000025,1040029.934210526,681.986842105263,1525,2018-12-01
2019,1,186540.64542231424,594627.2499999998,234999.9999999999,199.34,68.83,51711.32699999996,1022363.3454545452,677.061818181818,1510,2019-01-01
2019,2,116019.00000000007,182807.99999999997,230000.0000000002,92.641,12962.758,69625.81399999998,991019.795,656.3045,1510,2019-02-01
2019,3,143172,245309.83333333337,297824.1432406243,31798.80000000004,108830.0610000003,75045.51199999997,1014871.4285714296,667.678571428572,1520,2019-03-01
2019,4,131746.33333333323,247995.00000000015,230000.0000000002,44711.911000000015,65829.34599999996,57823.213,1075847.2647619054,667.399047619048,1612,2019-04-01
2019,5,136960.66666666657,263070.9999999998,230000.0000000002,26871.669,32305.721000000016,47759.85200000001,1127966.2095238103,692.00380952381,1630,2019-05-01
2019,6,132715.6666666666,248306.71428571417,230000.0000000002,13108.639999999998,14043.367000000007,57879.61599999997,1107854.4,692.409,1600,2019-06-01
2019,7,122358.66666666669,101409.80000000002,230000.0000000002,4331.212000000001,7664.082999999995,38361.75800000001,1072997.1290909098,686.059545454546,1564,2019-07-01
2019,8,134547.18989312951,594627.2499999998,297824.1432406243,106.595,10.86,4029.446000000001,1017027.2499999997,713.703333333333,1425,2019-08-01
2019,9,138599.35397585173,10000.00000000001,242097.4638489477,80.71900000000001,14.240999999999998,60.07300000000001,935770.994444444,718.442222222222,1302.5,2019-09-01
2019,10,142789.39131898267,588561.9999999997,236115.51125449213,104.166,467.691,22.408,935899.8900000002,721.0322727272729,1298,2019-10-01
2019,11,156470.00000000012,92156.66666666664,230281.3658954925,28448.712000000003,47715.96300000002,575.264,1014668.4551,776.53,1306.67,2019-11-01
2019,12,152402.66666666677,100900.875,230000.0000000002,8315.577999999998,30366.25699999999,16978.401000000005,1084709.824,770.3905,1408,2019-12-01
2020,1,200384.11890093668,354948.06545874244,241904.99999999985,35.725,78.443,80473.19799999999,1216920.1704545452,772.647727272727,1575,2020-01-01
2020,2,124175.9999999999,124175.9999999999,188001.00000000012,2591.6190000000006,6170.065,102478.11599999994,1343890.40625,796.3795,1687.5,2020-02-01
2020,3,126601.25000000006,139067.4999999999,161986.66666666677,7767.468999999998,35224.99100000004,77125.61100000002,1372378.8681818172,839.375454545454,1635,2020-03-01
2020,4,142511.74999999988,142578.142857143,188079.24999999985,53235.635999999984,104305.04799999992,60908.149999999965,1427984.7617523817,853.379047619048,1673.33,2020-04-01
2020,5,170037.6666666665,156352.16666666677,180162.99999999988,41502.43499999997,37355.823,66974.86999999998,1382687.3552631584,821.8052631578951,1682.5,2020-05-01
