ANIO,MES_TXT,RG,TONELADAS,NM_RECURSO,FLOTA,MES,FECHA,Limite_Superior,is_outlier_Q
2012,jun,8,18197.710000000003,SARDINA COMUN,INDUSTRIAL,6,2012-06-01,28123,FALSE
2012,jun,14,538.2850000000001,SARDINA COMUN,INDUSTRIAL,6,2012-06-01,28123,FALSE
2012,jul,8,8010.276,SARDINA COMUN,INDUSTRIAL,7,2012-07-01,28123,FALSE
2012,jul,14,582.9699999999999,SARDINA COMUN,INDUSTRIAL,7,2012-07-01,28123,FALSE
2012,ago,8,9144.182999999999,SARDINA COMUN,INDUSTRIAL,8,2012-08-01,28123,FALSE
2012,ago,14,409.79,SARDINA COMUN,INDUSTRIAL,8,2012-08-01,28123,FALSE
2012,oct,8,13189.760999999999,SARDINA COMUN,INDUSTRIAL,10,2012-10-01,28123,FALSE
2012,oct,14,1323.8449999999998,SARDINA COMUN,INDUSTRIAL,10,2012-10-01,28123,FALSE
2012,nov,8,56177.926999999996,SARDINA COMUN,INDUSTRIAL,11,2012-11-01,28123,TRUE
2012,nov,14,5571.725000000001,SARDINA COMUN,INDUSTRIAL,11,2012-11-01,28123,FALSE
2012,dic,8,13498.874000000002,SARDINA COMUN,INDUSTRIAL,12,2012-12-01,28123,FALSE
2012,dic,14,3048.067,SARDINA COMUN,INDUSTRIAL,12,2012-12-01,28123,FALSE
2013,feb,8,973.8109999999999,SARDINA COMUN,INDUSTRIAL,2,2013-02-01,28123,FALSE
2013,feb,14,98.13,SARDINA COMUN,INDUSTRIAL,2,2013-02-01,28123,FALSE
2013,mar,8,470.75,SARDINA COMUN,INDUSTRIAL,3,2013-03-01,28123,FALSE
2013,abr,8,17.96,SARDINA COMUN,INDUSTRIAL,4,2013-04-01,28123,FALSE
2013,may,8,5238.825,SARDINA COMUN,INDUSTRIAL,5,2013-05-01,28123,FALSE
2013,may,14,438.93999999999994,SARDINA COMUN,INDUSTRIAL,5,2013-05-01,28123,FALSE
2013,jun,8,2275.4530000000004,SARDINA COMUN,INDUSTRIAL,6,2013-06-01,28123,FALSE
2013,jun,14,1025.8549999999998,SARDINA COMUN,INDUSTRIAL,6,2013-06-01,28123,FALSE
2013,jul,8,3201.6699999999996,SARDINA COMUN,INDUSTRIAL,7,2013-07-01,28123,FALSE
2013,jul,14,368.168,SARDINA COMUN,INDUSTRIAL,7,2013-07-01,28123,FALSE
2013,oct,8,4845.626,SARDINA COMUN,INDUSTRIAL,10,2013-10-01,28123,FALSE
2013,oct,14,871.279,SARDINA COMUN,INDUSTRIAL,10,2013-10-01,28123,FALSE
2013,nov,8,16524.528000000002,SARDINA COMUN,INDUSTRIAL,11,2013-11-01,28123,FALSE
2013,nov,14,1973.7939999999999,SARDINA COMUN,INDUSTRIAL,11,2013-11-01,28123,FALSE
2013,dic,8,13986.951000000005,SARDINA COMUN,INDUSTRIAL,12,2013-12-01,28123,FALSE
2013,dic,14,2152.4230000000002,SARDINA COMUN,INDUSTRIAL,12,2013-12-01,28123,FALSE
2014,feb,8,83.224,SARDINA COMUN,INDUSTRIAL,2,2014-02-01,28123,FALSE
2014,mar,8,7321.9800000000005,SARDINA COMUN,INDUSTRIAL,3,2014-03-01,28123,FALSE
2014,abr,8,10417.144999999999,SARDINA COMUN,INDUSTRIAL,4,2014-04-01,28123,FALSE
2014,may,8,18739.271,SARDINA COMUN,INDUSTRIAL,5,2014-05-01,28123,FALSE
2014,jun,8,17323.551000000003,SARDINA COMUN,INDUSTRIAL,6,2014-06-01,28123,FALSE
2014,jun,14,52.111,SARDINA COMUN,INDUSTRIAL,6,2014-06-01,28123,FALSE
2014,jul,8,8148.687999999999,SARDINA COMUN,INDUSTRIAL,7,2014-07-01,28123,FALSE
2014,jul,14,3890.233,SARDINA COMUN,INDUSTRIAL,7,2014-07-01,28123,FALSE
2014,oct,8,1879.939,SARDINA COMUN,INDUSTRIAL,10,2014-10-01,28123,FALSE
2014,nov,8,6409.503,SARDINA COMUN,INDUSTRIAL,11,2014-11-01,28123,FALSE
2014,nov,14,610.287,SARDINA COMUN,INDUSTRIAL,11,2014-11-01,28123,FALSE
2014,dic,8,330.949,SARDINA COMUN,INDUSTRIAL,12,2014-12-01,28123,FALSE
2015,feb,8,146.542,SARDINA COMUN,INDUSTRIAL,2,2015-02-01,28123,FALSE
2015,mar,8,31126.120999999985,SARDINA COMUN,INDUSTRIAL,3,2015-03-01,28123,TRUE
2015,mar,14,5118.848999999999,SARDINA COMUN,INDUSTRIAL,3,2015-03-01,28123,FALSE
2015,abr,8,2842.9410000000003,SARDINA COMUN,INDUSTRIAL,4,2015-04-01,28123,FALSE
2015,abr,14,1402.915,SARDINA COMUN,INDUSTRIAL,4,2015-04-01,28123,FALSE
2015,may,8,1373.6309999999999,SARDINA COMUN,INDUSTRIAL,5,2015-05-01,28123,FALSE
2015,jun,8,2241.71,SARDINA COMUN,INDUSTRIAL,6,2015-06-01,28123,FALSE
2015,jul,8,1732.915,SARDINA COMUN,INDUSTRIAL,7,2015-07-01,28123,FALSE
2015,ago,8,741.275,SARDINA COMUN,INDUSTRIAL,8,2015-08-01,28123,FALSE
2015,ago,14,426.015,SARDINA COMUN,INDUSTRIAL,8,2015-08-01,28123,FALSE
2015,oct,8,23657.971999999994,SARDINA COMUN,INDUSTRIAL,10,2015-10-01,28123,FALSE
2015,oct,14,562.126,SARDINA COMUN,INDUSTRIAL,10,2015-10-01,28123,FALSE
2015,nov,8,6938.481000000001,SARDINA COMUN,INDUSTRIAL,11,2015-11-01,28123,FALSE
2015,nov,14,109.121,SARDINA COMUN,INDUSTRIAL,11,2015-11-01,28123,FALSE
2015,dic,8,1019.238,SARDINA COMUN,INDUSTRIAL,12,2015-12-01,28123,FALSE
2016,feb,8,13320.719000000001,SARDINA COMUN,INDUSTRIAL,2,2016-02-01,28123,FALSE
2016,feb,14,429.524,SARDINA COMUN,INDUSTRIAL,2,2016-02-01,28123,FALSE
2016,mar,8,13709.154,SARDINA COMUN,INDUSTRIAL,3,2016-03-01,28123,FALSE
2016,may,8,3210.3749999999995,SARDINA COMUN,INDUSTRIAL,5,2016-05-01,28123,FALSE
2016,jun,8,18262.978999999996,SARDINA COMUN,INDUSTRIAL,6,2016-06-01,28123,FALSE
2016,jun,14,727.023,SARDINA COMUN,INDUSTRIAL,6,2016-06-01,28123,FALSE
2016,jul,8,8970.651000000002,SARDINA COMUN,INDUSTRIAL,7,2016-07-01,28123,FALSE
2016,jul,14,788.0699999999999,SARDINA COMUN,INDUSTRIAL,7,2016-07-01,28123,FALSE
2016,oct,8,16066.918,SARDINA COMUN,INDUSTRIAL,10,2016-10-01,28123,FALSE
2016,oct,14,1312.104,SARDINA COMUN,INDUSTRIAL,10,2016-10-01,28123,FALSE
2016,nov,8,5718.536000000001,SARDINA COMUN,INDUSTRIAL,11,2016-11-01,28123,FALSE
2016,dic,8,2666.308,SARDINA COMUN,INDUSTRIAL,12,2016-12-01,28123,FALSE
2017,feb,8,7531.964000000001,SARDINA COMUN,INDUSTRIAL,2,2017-02-01,28123,FALSE
2017,feb,14,562.935,SARDINA COMUN,INDUSTRIAL,2,2017-02-01,28123,FALSE
2017,mar,8,500.524,SARDINA COMUN,INDUSTRIAL,3,2017-03-01,28123,FALSE
2017,may,8,47.353,SARDINA COMUN,INDUSTRIAL,5,2017-05-01,28123,FALSE
2017,oct,8,11123.770999999999,SARDINA COMUN,INDUSTRIAL,10,2017-10-01,28123,FALSE
