year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina_comun,Q_anchoveta
2018,9,210000,NA,NA,474.97600000000006,161.82000000000002,98.48400000000001
2018,10,NA,119849.2,133029,30.945,12456.342999999999,1658.6150000000002
2018,11,NA,119196.42857142857,127084.33333333333,12.635,47184.33100000007,15864.485000000033
2018,12,210000,130350.71428571429,142992.66666666666,48958.817000000025,7839.774000000002,1416.9730000000002
2019,1,235000,612823,NA,51711.32699999996,68.83,199.34
2019,2,230000,182808,116019,69625.81399999998,12962.758,92.64099999999999
2019,3,537759.5,245309.8333333333,143172,75045.51199999997,108830.0610000003,31798.80000000004
2019,4,230000,247995,131746.33333333334,57823.213,65829.34599999996,44711.911000000015
2019,5,230000,263071,136960.66666666666,47759.85200000001,32305.721000000016,26871.669
2019,6,230000,248306.71428571426,132715.66666666666,57879.61599999997,14043.367000000007,13108.639999999998
2019,7,230000,101409.8,122358.66666666667,38361.75800000001,7664.082999999995,4331.212000000001
2019,8,348500,NA,NA,4029.446000000001,10.86,106.595
2019,9,NA,10000,NA,60.07300000000001,14.240999999999998,80.71900000000001
2019,10,NA,588562,NA,22.408,467.69100000000003,104.166
2019,11,NA,92156.66666666667,156470,575.264,47715.96300000002,28448.712000000003
2019,12,230000,100900.875,152402.66666666666,16978.401000000005,30366.256999999994,8315.577999999998
2020,1,241905,NA,NA,80473.19799999999,78.443,35.725
2020,2,188001,124176,124176,102478.11599999994,6170.065,2591.6190000000006
2020,3,161986.66666666666,139067.5,126601.25,77125.61100000002,35224.99100000004,7767.468999999998
2020,4,188079.25,142578.14285714287,142511.75,60908.149999999965,104305.04799999991,53235.635999999984
2020,5,180163,156352.16666666666,170037.66666666666,66974.86999999998,37355.823,41502.43499999997
2020,6,201229,156032.5,163731.66666666666,51820.873999999996,8706.608999999999,13609.636999999999
2020,7,210000,157374.66666666666,174124,24631.67599999998,4312.121,6638.683
2020,8,NA,NA,NA,6927.787,332.1839999999999,383.576
2020,9,NA,NA,NA,900.75,24.610999999999997,214.76999999999998
2020,10,NA,NA,NA,0,8246.538999999999,665.724
2020,11,NA,163274.33333333334,191823,1411.473,30231.040000000005,35925.037999999964
2020,12,210000,187017.33333333334,263052,23264.14200000001,27299.390999999992,6567.446999999999
2021,1,240000,NA,NA,90400.38299999997,753.226,978.806
2021,2,240000,NA,NA,84373.05900000002,4135.686,1155.0919999999999
2021,3,240000,148998.66666666666,158498,72789.49000000003,184713.50999999995,56042.23800000011
2021,4,240000,155398.33333333334,168097.5,72246.508,95610.41700000019,48236.96999999999
2021,5,240000,160812,176218,70916.72200000004,20628.112000000005,41749.39
2021,6,240000,159631,189262,65446.401000000005,5552.879000000003,15501.41700000001
2021,7,NA,144209,144209,37352.678,1719.8900000000003,3353.3509999999983
2021,8,NA,NA,NA,795.2,5.588,52.107000000000006
2021,9,NA,NA,NA,59.688,2.6029999999999998,16.188000000000002
2021,10,NA,NA,NA,9.5,4915.918000000001,338.657
2021,11,NA,145512.5,161025,72.262,19248.929999999986,7250.078000000004
2021,12,NA,NA,162192,31153.925999999996,6931.9569999999985,536.807
2022,1,NA,NA,NA,97014.66299999996,13.216999999999999,33.513
2022,2,NA,174062,186161,78072.56200000002,14733.465,1048.195
2022,3,NA,182376,161695.5,82880.50599999998,110846.89700000001,91966.4719999998
2022,4,NA,185527,168052.5,65485.17499999998,33162.710999999974,59670.838000000076
2022,5,NA,197958,171073,90509.64799999997,10287.694000000001,23351.412
2022,6,NA,186367,173214.5,72138.65099999997,12472.874000000003,15566.766000000001
2022,7,NA,231917,228717,55775.65400000001,1201.318,1877.4179999999997
2022,8,NA,NA,NA,13262.097,24.739,1059.2060000000001
2022,9,NA,NA,NA,2876.5870000000004,0.36300000000000004,23.488
2022,10,NA,206435,203429,170.68,7973.253,526.989
2022,11,245000,171824.5,172375,2653.8039999999996,18881.948999999986,22373.05500000001
2022,12,245000,164905.5,165320,55399.36,14344.204000000002,1273.6409999999998
2023,1,290000,NA,NA,98336.59599999995,137.90699999999998,558.589
2023,2,290000,193000,193000,116416.41099999995,5676.290999999999,1039.8540000000003
2023,3,290000,176500,176500,95917.84099999999,206754.27699999974,38083.561
2023,4,290000,181000,181000,93841.48000000003,101672.79099999997,47399.75199999994
