ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS,Deflactor_2024,PRECIO_REAL,Fecha,Especie,Region_Label
2024,1,8,JUREL,300000,20710.696,143748.72700000007,1,0.9784704342454521,306600.98609044345,2024-01-01,Jurel,Región 8
2024,3,8,JUREL,300000,9308.235,104545.81199999998,1,0.9882786218783286,303558.1195005697,2024-03-01,Jurel,Región 8
2024,4,8,JUREL,300000,19174.806,122618.51999999987,1,0.99322001498772,302047.88010006945,2024-04-01,Jurel,Región 8
2024,5,8,JUREL,300000,9106.494,84925.71699999996,1,0.996199675032683,301144.44675979007,2024-05-01,Jurel,Región 8
2012,2,8,SARDINA COMUN,68471.82425978988,10470,18603.985999999997,2,0.5976205758660117,114574.07429549658,2012-02-01,Sardina Comun,Región 8
2012,3,8,SARDINA COMUN,66178.71411027685,128658,216777.33199999976,8,0.5988158170177438,110515.9754127134,2012-03-01,Sardina Comun,Región 8
2012,4,8,SARDINA COMUN,70735.29149183109,100809,164634.0050000001,8,0.5994146328347614,118007.28179975954,2012-04-01,Sardina Comun,Región 8
2012,5,8,SARDINA COMUN,76262.17170345657,25777,41729.18700000001,6,0.5994146328347614,127227.74441257176,2012-05-01,Sardina Comun,Región 8
2012,6,8,SARDINA COMUN,83549.03064415259,15990,27453.918,5,0.597616388936257,139803.7808047197,2012-06-01,Sardina Comun,Región 8
2012,7,8,SARDINA COMUN,77932.40246406572,24350,39902.53900000003,4,0.597616388936257,130405.39701861849,2012-07-01,Sardina Comun,Región 8
2012,8,8,SARDINA COMUN,83320.57745187901,8728,13540.762999999995,4,0.5988116217141296,139143.2203893597,2012-08-01,Sardina Comun,Región 8
2012,9,8,SARDINA COMUN,84000,1092,197.57700000000003,1,0.6036021146878425,139164.5223831617,2012-09-01,Sardina Comun,Región 8
2012,10,8,SARDINA COMUN,85812.37121898953,24266,37466.82799999997,7,0.6072237273759696,141319.19974506827,2012-10-01,Sardina Comun,Región 8
2012,11,8,SARDINA COMUN,87127.58248535306,51888,81691.644,6,0.6041876087390897,144206.17242909718,2012-11-01,Sardina Comun,Región 8
2012,12,8,SARDINA COMUN,89941.91432670629,24395,39438.629000000015,6,0.6041876087390897,148864.2153956297,2012-12-01,Sardina Comun,Región 8
2013,2,8,SARDINA COMUN,149998,448.732,973.811,1,0.6060013799405244,247520.8885080781,2013-02-01,Sardina Comun,Región 8
2013,3,8,SARDINA COMUN,115389.1391665176,35775.2,51996.734,8,0.6084253854602865,189652.07883169324,2013-03-01,Sardina Comun,Región 8
2013,4,8,SARDINA COMUN,153671.20759704852,10737.749000000002,11997.53199999999,5,0.6053832585329851,253841.19139574046,2013-04-01,Sardina Comun,Región 8
